time,ax,ay,az,gx,gy,gz,mx,my,mz,
54914.7,-0.23,-0.12,0.89,-0.03,-0.01,0.01,-15.00,-38.52,5.18,
54914.8,-0.25,-0.14,0.89,-0.03,0.04,0.00,-15.29,-38.66,6.35,
54914.9,-0.25,-0.13,0.89,-0.05,-0.04,0.03,-15.80,-38.92,4.26,
54915.0,-0.24,-0.14,0.90,-0.06,-0.10,0.03,-15.93,-38.52,4.68,
54915.1,-0.24,-0.15,0.91,-0.08,-0.16,0.04,-14.95,-39.35,5.01,
54915.2,-0.29,-0.17,0.91,-0.02,-0.10,0.15,-17.27,-38.59,4.97,
54915.3,-0.22,-0.15,0.88,-0.19,-0.20,0.22,-18.79,-39.33,3.26,
54915.4,-0.21,-0.11,0.91,-0.20,-0.35,0.27,-20.08,-35.93,5.35,
54915.5,-0.25,-0.12,0.86,-0.19,-0.24,0.48,-22.30,-35.71,4.80,
54915.6,-0.23,-0.12,0.89,-0.22,-0.26,0.95,-23.02,-34.16,5.07,
54915.7,-0.25,-0.20,0.91,-0.25,-0.25,1.31,-27.27,-31.82,4.34,
54915.8,-0.26,-0.23,0.85,-0.20,-0.47,1.68,-31.23,-29.39,5.38,
54915.9,-0.14,-0.27,0.86,-0.32,-0.70,1.76,-36.51,-21.56,5.35,
54916.0,-0.12,-0.32,0.98,-0.35,-0.43,1.73,-40.61,-15.74,5.35,
54916.1,-0.16,-0.34,0.87,-0.03,-0.24,1.62,-39.41,-7.01,6.18,
54916.2,-0.12,-0.28,0.79,-0.07,-0.62,1.66,-38.04,-0.17,8.20,
54916.3,-0.03,-0.31,0.90,-0.11,-0.62,1.68,-38.46,5.78,9.93,
54916.4,-0.10,-0.33,0.88,-0.04,0.00,1.65,-35.75,10.16,11.03,
54916.5,-0.11,-0.31,0.88,0.04,-0.29,1.50,-30.52,14.20,11.55,
54916.6,-0.09,-0.29,0.90,-0.00,-0.41,1.43,-25.06,18.95,10.77,
54916.7,-0.06,-0.24,0.89,-0.01,-0.18,1.45,-21.28,20.70,12.22,
54916.8,-0.16,-0.24,0.89,-0.08,-0.03,1.45,-14.95,20.19,11.04,
