time,x,y,z,MF
15:15:08:2,-16.15,-39.18,4.17,42.58
15:15:08:3,-17.02,-38.96,4.60,42.76
15:15:08:3,-17.51,-38.84,4.84,42.88
15:15:08:3,-17.67,-38.38,5.89,42.66
15:15:08:3,-17.67,-38.31,5.98,42.61
15:15:08:3,-16.83,-37.81,4.51,41.63
15:15:08:3,-16.40,-38.05,4.37,41.66
15:15:08:4,-15.29,-38.66,4.01,41.77
15:15:08:4,-16.02,-39.77,4.01,43.06
15:15:08:4,-16.66,-40.72,4.01,44.18
15:15:08:4,-15.85,-39.90,4.27,43.15
15:15:08:4,-15.63,-39.69,4.34,42.88
15:15:08:4,-18.03,-39.01,5.35,43.30
15:15:08:5,-17.81,-39.28,4.96,43.42
15:15:08:5,-16.83,-40.55,3.17,44.02
15:15:08:5,-16.91,-40.32,3.68,43.88
15:15:08:5,-17.00,-40.03,4.34,43.71
15:15:08:5,-16.53,-38.61,4.81,42.28
15:15:08:5,-16.32,-37.98,5.01,41.64
15:15:08:6,-16.32,-38.96,5.01,42.53
15:15:08:6,-16.30,-39.07,5.02,42.64
15:15:08:6,-16.15,-39.86,5.18,43.32
15:15:08:6,-16.49,-39.86,4.84,43.41
15:15:08:6,-17.17,-39.86,4.17,43.60
15:15:08:6,-16.46,-38.35,4.27,41.95
15:15:08:7,-15.97,-37.30,4.34,40.80
15:15:08:7,-16.70,-39.47,4.77,43.13
15:15:08:7,-16.83,-39.86,4.84,43.54
15:15:08:7,-16.15,-37.47,5.18,41.13
15:15:08:7,-15.95,-37.91,5.30,41.47
15:15:08:7,-15.29,-39.35,5.68,42.60
15:15:08:8,-15.96,-39.18,6.01,42.73
15:15:08:8,-16.66,-39.01,6.35,42.89
15:15:08:8,-16.40,-38.50,6.10,42.29
15:15:08:8,-16.32,-38.32,6.02,42.08
15:15:08:8,-16.15,-38.84,5.51,42.42
15:15:08:8,-16.28,-38.93,5.47,42.55
15:15:08:9,-17.17,-39.52,5.18,43.40
15:15:08:9,-16.64,-39.52,5.31,43.21
15:15:08:9,-15.80,-39.52,5.51,42.92
15:15:08:9,-16.58,-39.19,5.84,42.95
15:15:08:9,-17.00,-39.01,6.02,42.97
15:15:08:9,-17.00,-38.08,5.41,42.05
15:15:09:0,-16.98,-38.01,5.34,41.97
15:15:09:0,-16.15,-38.84,5.18,42.38
15:15:09:0,-16.15,-39.13,5.08,42.64
15:15:09:0,-16.15,-39.86,4.84,43.28
15:15:09:0,-15.96,-39.12,4.66,42.50
15:15:09:0,-15.80,-38.49,4.51,41.85
15:15:09:1,-16.22,-39.46,5.18,42.97
15:15:09:1,-16.32,-39.69,5.35,43.25
15:15:09:1,-16.66,-39.35,4.01,42.92
15:15:09:1,-16.56,-39.19,4.29,42.76
15:15:09:1,-16.15,-38.49,5.51,42.10
15:15:09:1,-15.84,-39.71,5.37,43.09
15:15:09:2,-15.46,-41.23,5.18,44.34
15:15:09:2,-16.18,-40.27,4.94,43.68
15:15:09:2,-16.49,-39.86,4.84,43.41
15:15:09:2,-16.32,-39.04,5.33,42.65
15:15:09:2,-16.27,-39.02,5.27,42.61
15:15:09:3,-15.80,-39.18,4.51,42.49
15:15:09:3,-15.98,-39.47,4.45,42.81
15:15:09:3,-16.32,-40.03,4.34,43.45
15:15:09:3,-16.11,-39.73,4.64,43.12
15:15:09:3,-15.73,-39.15,5.21,42.51
15:15:09:3,-15.05,-39.01,4.77,42.08
15:15:09:3,-14.95,-39.01,4.68,42.03
15:15:09:4,-15.63,-39.35,5.68,42.72
15:15:09:4,-15.51,-39.39,5.64,42.71
15:15:09:4,-15.12,-39.52,5.51,42.67
15:15:09:4,-15.37,-39.44,4.60,42.58
15:15:09:4,-15.63,-39.35,3.67,42.50
15:15:09:4,-16.28,-39.74,4.55,43.18
