time,x,y,z,MF
19:53:28:296,-5.37,29.56,-28.59,41.47
19:53:28:311,-4.59,31.40,-30.12,43.75
19:53:28:326,-5.56,31.32,-29.90,43.66
19:53:28:353,-6.76,31.23,-29.63,43.58
19:53:28:356,-6.76,31.93,-28.95,43.62
19:53:28:379,-6.76,32.24,-28.65,43.65
19:53:28:391,-8.04,31.27,-29.28,43.58
19:53:28:416,-8.09,31.19,-29.34,43.58
19:53:28:455,-7.93,30.39,-30.12,43.51
19:53:28:457,-7.20,30.60,-30.32,43.68
19:53:28:461,-5.59,31.06,-30.77,44.08
19:53:28:476,-6.43,31.53,-30.32,44.21
19:53:28:493,-7.09,31.90,-29.96,44.33
19:53:28:508,-6.70,31.24,-29.83,43.71
19:53:28:525,-6.59,31.06,-29.79,43.54
19:53:28:565,-6.92,31.40,-31.10,44.73
19:53:28:567,-6.92,31.49,-30.91,44.67
19:53:28:581,-6.92,32.07,-29.79,44.32
19:53:28:597,-6.86,31.37,-29.73,43.76
19:53:28:611,-6.76,30.22,-29.63,42.86
19:53:28:628,-5.95,31.23,-30.02,43.73
19:53:28:670,-5.42,31.90,-30.28,44.32
19:53:28:674,-5.70,31.34,-29.73,43.57
19:53:28:675,-5.76,31.23,-29.63,43.43
19:53:28:700,-5.59,30.05,-30.77,43.38
19:53:28:735,-5.52,30.18,-30.51,43.27
19:53:28:737,-5.26,30.72,-29.47,42.89
19:53:28:746,-5.95,30.65,-29.84,43.19
19:53:28:763,-6.76,30.56,-30.28,43.55
19:53:28:781,-7.36,31.88,-29.93,44.34
19:53:28:791,-7.59,32.41,-29.79,44.67
19:53:28:805,-6.65,30.82,-29.48,43.17
19:53:28:837,-6.56,30.78,-29.36,43.04
19:53:28:851,-6.26,31.40,-28.16,42.64
19:53:28:866,-6.00,31.55,-28.72,43.09
19:53:28:884,-5.42,31.90,-29.96,44.10
19:53:28:899,-6.50,32.08,-30.13,44.49
19:53:28:917,-7.43,32.24,-30.28,44.85
19:53:28:926,-6.52,31.58,-29.90,43.98
19:53:28:940,-6.26,31.40,-29.79,43.73
19:53:28:974,-6.76,31.56,-30.61,44.49
19:53:28:985,-6.69,31.54,-30.50,44.38
19:53:29:2,-6.26,31.40,-29.79,43.73
19:53:29:17,-6.39,31.53,-29.53,43.67
19:53:29:62,-6.59,31.73,-29.14,43.58
19:53:29:63,-5.83,31.84,-29.46,43.77
19:53:29:75,-5.42,31.90,-29.63,43.87
19:53:29:76,-4.98,31.46,-29.49,43.40
19:53:29:105,-4.96,31.40,-29.47,43.35
19:53:29:147,-6.92,31.73,-29.79,44.07
19:53:29:149,-6.68,31.82,-29.95,44.20
19:53:29:151,-5.92,32.07,-30.45,44.62
19:53:29:165,-5.53,31.20,-30.06,43.68
19:53:29:181,-5.09,30.22,-29.63,42.63
19:53:29:195,-5.80,30.94,-30.33,43.71
19:53:29:210,-6.09,31.23,-30.61,44.15
19:53:29:247,-6.58,30.73,-30.13,43.53
19:53:29:257,-6.56,30.76,-30.04,43.49
19:53:29:273,-6.09,31.23,-28.97,43.03
19:53:29:291,-6.48,31.62,-29.03,43.41
19:53:29:300,-7.26,32.41,-29.14,44.18
19:53:29:315,-6.38,31.13,-29.61,43.44
19:53:29:350,-5.76,30.22,-29.96,42.94
19:53:29:351,-6.43,30.35,-30.35,43.41
19:53:29:361,-6.59,30.39,-30.45,43.52
19:53:29:390,-5.42,30.89,-28.97,42.70
19:53:29:410,-5.51,31.04,-29.00,42.84
19:53:29:420,-5.92,31.73,-29.14,43.49
19:53:29:437,-5.65,31.87,-29.14,43.55
19:53:29:467,-5.26,32.07,-29.14,43.65
19:53:29:468,-5.69,31.19,-29.14,43.06
19:53:29:480,-5.92,30.72,-29.14,42.76
19:53:29:494,-3.92,29.95,-28.39,41.45
19:53:29:510,-3.75,29.88,-28.32,41.34
19:53:29:564,-5.09,30.89,-29.30,42.88
19:53:29:565,-5.04,30.57,-29.79,42.98
19:53:29:569,-4.92,29.71,-31.10,43.29
19:53:29:584,-5.44,31.11,-29.75,43.38
19:53:29:600,-5.92,32.41,-28.49,43.55
19:53:29:614,-6.17,31.66,-29.70,43.84
19:53:29:656,-6.26,31.40,-30.12,43.96
19:53:29:657,-5.61,31.72,-29.80,43.89
19:53:29:675,-5.70,31.77,-29.79,43.93
19:53:29:690,-6.59,32.07,-29.79,44.27
19:53:29:704,-6.65,31.56,-30.29,44.24
19:53:29:741,-6.76,30.56,-31.26,44.24
19:53:29:743,-6.46,31.65,-30.20,44.22
19:53:29:751,-6.26,32.41,-29.47,44.24
19:53:29:768,-5.83,31.69,-28.49,43.01
19:53:29:784,-5.76,31.56,-28.32,42.80
19:53:29:809,-6.76,30.89,-29.30,43.11
19:53:29:843,-6.73,30.87,-29.48,43.21
19:53:29:845,-6.59,30.72,-30.45,43.75
19:53:29:854,-6.80,31.36,-29.96,43.90
19:53:29:869,-7.09,32.24,-29.30,44.14
19:53:29:885,-6.98,31.67,-28.75,43.34
19:53:29:904,-6.92,31.40,-28.49,42.95
19:53:29:920,-7.08,30.64,-29.81,43.33
19:53:29:950,-7.04,30.54,-29.90,43.32
19:53:29:958,-5.76,30.22,-28.65,42.04
19:53:29:974,-5.89,30.45,-28.69,42.25
19:53:29:989,-6.26,31.06,-28.81,42.83
19:53:30:4,-5.93,31.06,-29.46,43.22
19:53:30:18,-5.59,31.06,-30.12,43.63
19:53:30:50,-6.33,31.56,-29.39,43.59
19:53:30:52,-6.59,31.73,-29.14,43.58
19:53:30:79,-6.92,32.07,-30.77,44.98
19:53:30:94,-6.89,32.07,-30.74,44.96
19:53:30:108,-6.59,32.07,-30.45,44.71
19:53:30:136,-6.35,32.19,-29.74,44.28
19:53:30:138,-5.92,32.41,-28.49,43.55
19:53:30:156,-6.63,31.28,-28.78,43.02
19:53:30:173,-7.09,30.56,-28.97,42.70
19:53:30:183,-5.70,31.39,-29.25,43.28
19:53:30:199,-5.42,31.56,-29.30,43.41
19:53:30:246,-6.26,31.40,-29.47,43.51
