time,x,y,z,
56447.5,-0.01,0.02,0.91,
56447.5,-0.01,0.00,0.91,
56447.5,-0.02,-0.01,0.93,
56447.5,-0.03,-0.02,0.94,
56447.5,-0.04,-0.03,0.93,
56447.5,-0.06,-0.03,0.92,
56447.5,-0.06,-0.04,0.92,
56447.5,-0.06,-0.03,0.91,
56447.5,-0.06,-0.03,0.93,
56447.5,-0.05,-0.03,0.93,
56447.5,-0.05,-0.03,0.93,
56447.5,-0.04,-0.02,0.94,
56447.5,-0.03,-0.01,0.94,
56447.5,-0.02,-0.00,0.93,
56447.5,-0.02,-0.00,0.93,
56447.5,-0.02,0.01,0.93,
56447.5,-0.01,0.01,0.92,
56447.5,-0.01,0.01,0.92,
56447.5,-0.01,0.01,0.90,
56447.5,-0.02,-0.00,0.91,
56447.5,-0.03,-0.01,0.90,
56447.6,-0.03,-0.01,0.91,
56447.6,-0.03,-0.02,0.91,
56447.6,-0.03,-0.02,0.91,
56447.6,-0.03,-0.03,0.91,
56447.6,-0.03,-0.02,0.91,
56447.6,-0.02,-0.02,0.92,
56447.6,-0.03,-0.02,0.92,
56447.6,-0.03,-0.01,0.91,
56447.6,-0.03,-0.00,0.92,
56447.6,-0.04,0.00,0.90,
56447.6,-0.06,0.00,0.91,
56447.6,-0.08,0.01,0.89,
56447.6,-0.09,0.01,0.89,
56447.6,-0.10,0.01,0.90,
56447.6,-0.09,0.01,0.88,
56447.6,-0.08,0.00,0.89,
56447.6,-0.06,0.00,0.89,
56447.6,-0.06,0.00,0.91,
56447.6,-0.04,-0.00,0.91,
56447.6,-0.05,-0.00,0.91,
56447.7,-0.04,-0.01,0.91,
56447.7,-0.05,-0.02,0.91,
56447.7,-0.05,-0.02,0.91,
56447.7,-0.06,-0.01,0.92,
56447.7,-0.06,-0.01,0.91,
56447.7,-0.05,-0.01,0.91,
56447.7,-0.06,-0.01,0.91,
56447.7,-0.06,-0.01,0.92,
56447.7,-0.13,-0.02,0.94,
56447.7,-0.13,-0.03,0.91,
