time,x,y,z,
56450.4,0.02,-0.01,-0.23,
56450.4,0.01,0.01,-0.26,
56450.4,0.01,0.02,-0.26,
56450.4,0.00,0.04,-0.23,
56450.4,-0.01,0.06,-0.18,
56450.4,-0.04,0.07,-0.10,
56450.4,-0.08,0.07,0.00,
56450.4,-0.11,0.05,0.12,
56450.4,-0.14,0.03,0.23,
56450.4,-0.16,0.00,0.33,
56450.4,-0.17,-0.03,0.41,
56450.4,-0.18,-0.06,0.47,
56450.4,-0.19,-0.09,0.50,
56450.4,-0.20,-0.12,0.51,
56450.4,-0.23,-0.14,0.49,
56450.4,-0.25,-0.16,0.45,
56450.4,-0.31,-0.15,0.36,
56450.5,-0.34,-0.15,0.23,
56450.5,-0.32,-0.17,0.09,
56450.5,-0.25,-0.18,-0.05,
56450.5,-0.16,-0.17,-0.17,
56450.5,-0.08,-0.14,-0.26,
56450.5,-0.02,-0.11,-0.32,
56450.5,0.00,-0.09,-0.35,
56450.5,0.01,-0.08,-0.33,
56450.5,0.02,-0.08,-0.27,
56450.5,0.01,-0.08,-0.19,
56450.5,-0.01,-0.08,-0.10,
56450.5,-0.05,-0.07,-0.02,
56450.5,-0.10,-0.06,0.04,
56450.5,-0.14,-0.06,0.07,
56450.5,-0.17,-0.05,0.08,
56450.5,-0.18,-0.05,0.07,
56450.5,-0.18,-0.04,0.04,
56450.5,-0.17,-0.04,0.00,
56450.5,-0.14,-0.05,-0.04,
56450.5,-0.11,-0.06,-0.07,
56450.6,-0.08,-0.05,-0.10,
56450.6,-0.05,-0.05,-0.13,
56450.6,-0.05,-0.04,-0.14,
56450.6,-0.05,-0.04,-0.14,
56450.6,-0.05,-0.04,-0.14,
56450.6,-0.05,-0.04,-0.13,
56450.6,-0.04,-0.05,-0.11,
56450.6,-0.03,-0.06,-0.08,
56450.6,-0.02,-0.07,-0.06,
56450.6,-0.01,-0.08,-0.04,
56450.6,-0.01,-0.09,-0.01,
56450.6,-0.00,-0.10,0.01,
56450.6,0.00,-0.12,0.01,
56450.6,0.01,-0.13,0.02,
56450.6,0.03,-0.14,0.02,
56450.6,0.04,-0.16,0.01,
56450.6,0.05,-0.16,0.00,
56450.6,0.05,-0.17,-0.01,
56450.6,0.06,-0.17,-0.02,
56450.6,0.06,-0.17,-0.04,
56450.6,0.07,-0.18,-0.05,
56450.7,0.08,-0.18,-0.05,
56450.7,0.08,-0.18,-0.05,
56450.7,0.09,-0.19,-0.05,
56450.7,0.09,-0.19,-0.05,
56450.7,0.10,-0.19,-0.04,
56450.7,0.12,-0.19,-0.03,
56450.7,0.13,-0.19,-0.02,
56450.7,0.15,-0.19,-0.01,
56450.7,0.17,-0.18,0.00,
56450.7,0.18,-0.18,0.01,
56450.7,0.19,-0.17,0.02,
56450.7,0.20,-0.16,0.03,
56450.7,0.21,-0.16,0.03,
56450.7,0.22,-0.15,0.03,
56450.7,0.22,-0.15,0.03,
56450.7,0.22,-0.15,0.03,
56450.7,0.22,-0.15,0.03,
56450.7,0.23,-0.15,0.03,
56450.7,0.23,-0.16,0.03,
56450.7,0.24,-0.17,0.03,
56450.8,0.24,-0.18,0.03,
56450.8,0.25,-0.20,0.04,
56450.8,0.26,-0.22,0.04,
56450.8,0.27,-0.24,0.06,
56450.8,0.28,-0.25,0.07,
56450.8,0.28,-0.27,0.08,
56450.8,0.29,-0.28,0.09,
56450.8,0.30,-0.29,0.10,
56450.8,0.30,-0.29,0.11,
56450.8,0.31,-0.29,0.11,
56450.8,0.31,-0.29,0.12,
56450.8,0.30,-0.28,0.11,
56450.8,0.30,-0.28,0.11,
56450.8,0.29,-0.27,0.11,
56450.8,0.29,-0.25,0.10,
56450.8,0.29,-0.24,0.10,
56450.8,0.29,-0.23,0.10,
56450.8,0.30,-0.22,0.10,
56450.8,0.31,-0.22,0.10,
56450.8,0.31,-0.22,0.11,
56450.9,0.32,-0.23,0.12,
56450.9,0.33,-0.24,0.13,
56450.9,0.33,-0.24,0.14,
56450.9,0.33,-0.25,0.15,
56450.9,0.33,-0.25,0.17,
56450.9,0.34,-0.26,0.18,
56450.9,0.34,-0.26,0.19,
56450.9,0.34,-0.26,0.20,
56450.9,0.35,-0.25,0.21,
56450.9,0.35,-0.25,0.23,
56450.9,0.35,-0.25,0.23,
56450.9,0.35,-0.25,0.24,
56450.9,0.35,-0.25,0.25,
56450.9,0.35,-0.26,0.25,
56450.9,0.34,-0.26,0.26,
56450.9,0.33,-0.27,0.26,
56450.9,0.32,-0.28,0.26,
56450.9,0.30,-0.28,0.27,
56450.9,0.28,-0.28,0.27,
56450.9,0.27,-0.26,0.29,
56450.9,0.26,-0.24,0.30,
56451.0,0.26,-0.21,0.32,
56451.0,0.27,-0.18,0.33,
56451.0,0.28,-0.15,0.36,
56451.0,0.29,-0.13,0.38,
56451.0,0.30,-0.11,0.41,
56451.0,0.31,-0.10,0.44,
56451.0,0.32,-0.10,0.47,
56451.0,0.32,-0.11,0.50,
56451.0,0.33,-0.13,0.52,
56451.0,0.33,-0.15,0.54,
56451.0,0.33,-0.17,0.56,
56451.0,0.33,-0.18,0.57,
56451.0,0.33,-0.18,0.58,
56451.0,0.32,-0.18,0.58,
56451.0,0.31,-0.17,0.58,
56451.0,0.30,-0.15,0.57,
56451.0,0.30,-0.13,0.57,
56451.0,0.29,-0.11,0.56,
56451.0,0.29,-0.08,0.55,
56451.0,0.29,-0.05,0.54,
56451.1,0.28,-0.02,0.53,
56451.1,0.28,-0.01,0.53,
56451.1,0.28,-0.00,0.53,
56451.1,0.28,-0.01,0.53,
56451.1,0.28,-0.00,0.53,
56451.1,0.27,0.01,0.53,
56451.1,0.27,0.03,0.54,
56451.1,0.26,0.06,0.54,
56451.1,0.26,0.09,0.54,
56451.1,0.27,0.12,0.54,
56451.1,0.28,0.16,0.54,
56451.1,0.28,0.20,0.53,
56451.1,0.28,0.25,0.51,
56451.1,0.28,0.28,0.50,
56451.1,0.27,0.29,0.48,
56451.1,0.26,0.29,0.46,
56451.1,0.25,0.27,0.44,
56451.1,0.23,0.25,0.42,
56451.1,0.22,0.21,0.41,
56451.1,0.21,0.16,0.39,
56451.2,0.20,0.09,0.37,
56451.2,0.19,0.03,0.36,
56451.2,0.18,-0.03,0.35,
56451.2,0.17,-0.10,0.34,
56451.2,0.15,-0.16,0.34,
56451.2,0.15,-0.21,0.34,
56451.2,0.14,-0.25,0.34,
56451.2,0.14,-0.26,0.34,
56451.2,0.13,-0.26,0.33,
56451.2,0.13,-0.25,0.33,
56451.2,0.13,-0.21,0.32,
56451.2,0.14,-0.18,0.31,
56451.2,0.14,-0.14,0.29,
56451.2,0.14,-0.09,0.27,
56451.2,0.14,-0.05,0.25,
56451.2,0.14,-0.00,0.24,
56451.2,0.14,0.03,0.22,
56451.2,0.14,0.05,0.20,
56451.2,0.15,0.08,0.18,
56451.2,0.16,0.10,0.17,
56451.3,0.16,0.12,0.16,
56451.3,0.16,0.14,0.15,
56451.3,0.16,0.15,0.14,
56451.3,0.16,0.17,0.13,
56451.3,0.16,0.19,0.13,
56451.3,0.15,0.22,0.12,
56451.3,0.14,0.24,0.11,
56451.3,0.13,0.27,0.10,
56451.3,0.12,0.29,0.09,
56451.3,0.11,0.31,0.07,
56451.3,0.10,0.33,0.06,
56451.3,0.10,0.34,0.05,
56451.3,0.09,0.34,0.04,
56451.3,0.09,0.34,0.02,
56451.3,0.08,0.33,0.01,
56451.3,0.08,0.31,0.00,
56451.3,0.07,0.28,-0.00,
56451.3,0.07,0.26,-0.01,
56451.3,0.07,0.23,-0.01,
