time,x,y,z,
53125.5,23.75,-31.98,-23.99,
53125.5,24.24,-31.00,-24.23,
53125.5,22.94,-32.30,-23.86,
53125.5,21.84,-33.40,-23.56,
53125.5,23.07,-33.26,-22.62,
53125.6,23.38,-33.23,-22.38,
53125.6,22.70,-32.54,-24.39,
53125.6,22.84,-32.40,-24.60,
53125.6,23.38,-31.86,-25.40,
53125.6,23.22,-32.34,-24.31,
53125.6,23.04,-32.89,-23.05,
53125.7,23.53,-32.39,-23.78,
53125.7,23.72,-32.20,-24.06,
53125.7,23.05,-31.20,-24.39,
53125.7,23.08,-31.48,-24.39,
53125.7,23.38,-33.57,-24.39,
53125.7,22.85,-33.18,-24.01,
53125.8,22.01,-32.54,-23.39,
53125.8,23.54,-32.76,-23.82,
53125.8,24.41,-32.89,-24.06,
53125.8,23.49,-31.35,-23.46,
53125.8,23.32,-31.18,-23.36,
53125.8,22.18,-31.35,-22.89,
53125.9,22.81,-31.87,-23.09,
53125.9,24.24,-33.06,-23.56,
53125.9,23.95,-33.15,-23.46,
53125.9,23.72,-33.23,-23.39,
53125.9,23.44,-31.83,-23.94,
53125.9,23.38,-31.52,-24.06,
53126.0,22.70,-33.23,-24.06,
53126.0,22.85,-33.07,-24.06,
53126.0,23.38,-32.54,-24.06,
53126.0,23.46,-33.12,-24.14,
53126.0,23.55,-33.74,-24.23,
53126.0,23.05,-32.23,-24.47,
53126.1,22.87,-31.69,-24.56,
53126.1,24.39,-32.54,-24.73,
53126.1,24.31,-32.64,-24.53,
53126.1,23.72,-33.23,-23.39,
53126.1,23.93,-33.16,-23.99,
53126.1,24.24,-33.06,-24.90,
53126.2,23.90,-32.27,-23.46,
53126.2,23.72,-31.86,-22.72,
53126.2,23.72,-33.42,-24.25,
53126.2,23.70,-33.50,-24.39,
53126.2,23.38,-32.54,-24.39,
53126.3,23.65,-32.82,-23.80,
53126.3,24.24,-33.40,-22.55,
53126.3,23.54,-32.51,-23.03,
53126.3,23.04,-31.86,-23.39,
53126.3,23.32,-33.00,-23.67,
53126.3,23.38,-33.23,-23.72,
53126.4,23.21,-33.40,-24.23,
53126.4,23.25,-33.20,-24.02,
53126.4,23.38,-32.54,-23.39,
53126.4,23.55,-32.54,-23.22,
53126.4,23.72,-32.54,-23.05,
53126.4,24.24,-32.80,-23.81,
53126.4,24.41,-32.89,-24.06,
53126.5,23.55,-32.37,-22.55,
53126.5,23.74,-32.62,-22.31,
53126.5,24.75,-33.91,-21.04,
53126.5,23.97,-33.56,-22.09,
53126.5,22.87,-33.06,-23.56,
53126.6,23.55,-33.06,-21.98,
53126.6,23.89,-33.06,-21.21,
53126.6,24.21,-33.06,-21.52,
53126.6,24.21,-33.03,-21.60,
53126.6,23.89,-32.71,-22.22,
53126.6,24.12,-32.83,-23.01,
53126.7,24.58,-33.06,-24.56,
53126.7,24.07,-32.55,-24.06,
53126.7,23.72,-32.20,-23.72,
53126.7,23.29,-32.06,-23.58,
53126.7,23.21,-32.03,-23.56,
53126.7,23.21,-32.37,-25.23,
53126.8,23.38,-32.37,-24.97,
53126.8,23.89,-32.37,-24.23,
53126.8,23.72,-32.20,-24.23,
53126.8,23.55,-32.03,-24.23,
53126.8,23.42,-32.42,-24.10,
53126.8,23.38,-32.54,-24.06,
53126.9,22.70,-33.57,-24.39,
53126.9,22.94,-33.20,-24.21,
53126.9,24.06,-31.52,-23.39,
53126.9,23.69,-32.48,-23.61,
53126.9,23.21,-33.74,-23.89,
53126.9,23.68,-32.56,-23.89,
53126.9,23.89,-32.03,-23.89,
53127.0,24.22,-33.97,-23.89,
53127.0,24.22,-33.93,-23.91,
53127.0,24.06,-32.54,-24.06,
53127.0,23.64,-32.12,-23.76,
53127.0,22.87,-31.35,-23.22,
