time,x,y,z,
53128.8,-0.13,-0.05,0.93,
53128.8,-0.13,-0.05,0.92,
53128.8,-0.13,-0.04,0.90,
53128.9,-0.13,-0.04,0.91,
53128.9,-0.13,-0.04,0.92,
53128.9,-0.13,-0.03,0.93,
53128.9,-0.13,-0.03,0.94,
53128.9,-0.13,-0.03,0.94,
53128.9,-0.13,-0.03,0.93,
53128.9,-0.13,-0.03,0.92,
53128.9,-0.14,-0.03,0.92,
53128.9,-0.14,-0.04,0.91,
53128.9,-0.14,-0.03,0.91,
53128.9,-0.14,-0.04,0.92,
53128.9,-0.14,-0.04,0.92,
53128.9,-0.14,-0.04,0.92,
53128.9,-0.14,-0.03,0.92,
53128.9,-0.13,-0.03,0.92,
53128.9,-0.13,-0.03,0.92,
53128.9,-0.13,-0.03,0.92,
53128.9,-0.13,-0.03,0.93,
53128.9,-0.13,-0.02,0.92,
53128.9,-0.13,-0.03,0.93,
53129.0,-0.13,-0.03,0.93,
53129.0,-0.13,-0.03,0.93,
53129.0,-0.13,-0.03,0.93,
53129.0,-0.12,-0.03,0.93,
53129.0,-0.12,-0.03,0.93,
53129.0,-0.12,-0.03,0.93,
53129.0,-0.12,-0.03,0.92,
53129.0,-0.12,-0.03,0.92,
53129.0,-0.12,-0.03,0.93,
53129.0,-0.11,-0.03,0.92,
53129.0,-0.12,-0.03,0.92,
53129.0,-0.12,-0.03,0.92,
53129.0,-0.12,-0.02,0.93,
53129.0,-0.12,-0.03,0.93,
53129.0,-0.13,-0.02,0.91,
53129.0,-0.13,-0.03,0.92,
53129.0,-0.13,-0.02,0.92,
53129.0,-0.13,-0.02,0.91,
53129.0,-0.13,-0.03,0.91,
53129.0,-0.13,-0.03,0.91,
53129.1,-0.13,-0.03,0.91,
53129.1,-0.13,-0.03,0.91,
53129.1,-0.13,-0.03,0.91,
53129.1,-0.13,-0.03,0.91,
53129.1,-0.13,-0.03,0.91,
53129.1,-0.13,-0.03,0.91,
53129.1,-0.13,-0.03,0.90,
53129.1,-0.13,-0.03,0.91,
53129.1,-0.12,-0.03,0.91,
53129.1,-0.13,-0.03,0.91,
53129.1,-0.12,-0.02,0.91,
53129.1,-0.12,-0.02,0.91,
53129.1,-0.12,-0.02,0.91,
53129.1,-0.12,-0.03,0.92,
53129.1,-0.12,-0.03,0.92,
53129.1,-0.13,-0.03,0.92,
53129.1,-0.13,-0.03,0.92,
53129.1,-0.13,-0.03,0.92,
53129.1,-0.13,-0.03,0.91,
53129.1,-0.13,-0.03,0.92,
53129.2,-0.13,-0.04,0.92,
53129.2,-0.12,-0.03,0.91,
53129.2,-0.12,-0.04,0.92,
53129.2,-0.12,-0.03,0.92,
