time,x,y,z,
53131.7,-0.02,-0.09,-0.04,
53131.7,-0.05,-0.10,-0.05,
53131.7,-0.04,-0.10,-0.05,
53131.7,-0.03,-0.11,-0.04,
53131.7,-0.01,-0.10,-0.02,
53131.7,-0.00,-0.09,-0.00,
53131.7,-0.01,-0.07,0.02,
53131.7,-0.02,-0.06,0.04,
53131.7,-0.03,-0.05,0.05,
53131.7,-0.04,-0.03,0.06,
53131.7,-0.04,-0.02,0.06,
53131.7,-0.03,-0.00,0.06,
53131.7,-0.02,0.01,0.05,
53131.7,-0.01,0.03,0.04,
53131.7,-0.01,0.05,0.03,
53131.7,-0.01,0.05,0.01,
53131.7,-0.01,0.06,-0.00,
53131.8,-0.01,0.06,-0.01,
53131.8,-0.00,0.06,-0.01,
53131.8,-0.00,0.05,-0.01,
53131.8,-0.00,0.04,-0.01,
53131.8,-0.00,0.03,-0.00,
53131.8,-0.00,0.02,0.01,
53131.8,-0.00,0.02,0.02,
53131.8,-0.01,0.01,0.02,
53131.8,-0.01,0.01,0.03,
53131.8,-0.01,0.01,0.03,
53131.8,-0.01,0.01,0.03,
53131.8,-0.01,0.01,0.03,
53131.8,-0.00,0.01,0.03,
53131.8,-0.00,0.01,0.02,
53131.8,-0.00,0.01,0.02,
53131.8,-0.00,0.01,0.02,
53131.8,-0.00,0.00,0.02,
53131.8,-0.01,0.00,0.02,
53131.8,-0.01,-0.00,0.02,
53131.8,-0.01,-0.01,0.02,
53131.9,-0.01,-0.01,0.02,
53131.9,-0.01,-0.02,0.02,
53131.9,-0.02,-0.02,0.02,
53131.9,-0.02,-0.02,0.02,
53131.9,-0.02,-0.03,0.02,
53131.9,-0.02,-0.03,0.02,
53131.9,-0.02,-0.03,0.02,
53131.9,-0.02,-0.02,0.01,
53131.9,-0.02,-0.02,0.01,
53131.9,-0.02,-0.02,0.01,
53131.9,-0.01,-0.01,0.02,
53131.9,-0.01,-0.01,0.01,
53131.9,-0.01,-0.01,0.01,
53131.9,-0.00,-0.00,0.01,
