time,ax,ay,az,gx,gy,gz,mx,my,mz,
71763.1,-0.27,-0.86,0.40,-0.04,0.03,0.03,29.63,35.81,-4.76,
71763.2,-0.26,-0.85,0.41,0.02,-0.07,0.00,29.01,35.81,-5.77,
71763.3,-0.26,-0.85,0.41,0.01,-0.07,-0.01,28.96,34.80,-5.09,
71763.4,-0.29,-0.87,0.39,0.01,-0.06,-0.01,28.63,35.81,-6.40,
71763.5,-0.27,-0.86,0.40,-0.00,-0.04,-0.01,28.48,34.47,-6.25,
71763.6,-0.26,-0.86,0.41,-0.11,0.25,0.06,29.29,34.80,-2.15,
71763.7,-0.26,-0.86,0.41,-0.26,0.24,0.10,29.46,33.28,-2.64,
71763.8,-0.27,-0.86,0.41,-0.01,-0.03,-0.01,28.45,34.29,-6.23,
71763.9,-0.26,-0.86,0.41,-0.05,0.03,0.02,29.96,32.44,1.45,
71764.1,-0.36,-0.88,0.18,-0.43,1.11,-0.42,27.85,35.68,7.63,
71764.2,-0.21,-0.93,0.43,0.07,1.93,-0.54,29.13,33.58,4.49,
71764.3,-0.35,-0.95,-0.01,0.08,1.92,-0.58,22.95,34.80,11.91,
71764.4,-0.39,-0.97,0.03,0.04,0.17,0.15,28.63,33.79,4.41,
71764.5,-0.50,-0.99,0.03,0.04,-0.33,-0.21,24.28,34.80,12.89,
71764.6,-0.21,-0.92,0.77,0.06,1.77,-0.55,28.96,34.12,6.68,
71764.7,-0.16,-0.94,0.58,0.02,1.61,-0.52,28.54,34.08,6.91,
71764.8,-0.41,-0.88,0.14,-0.15,0.59,-0.18,27.46,33.96,7.50,
71764.9,-0.38,-0.88,0.18,-0.13,0.54,-0.16,23.28,36.96,9.02,
71765.1,-0.29,-0.94,0.17,0.06,0.04,-0.02,21.95,36.82,9.30,
71765.2,-0.29,-0.94,0.17,0.05,0.01,0.01,22.74,36.17,7.90,
71765.3,-0.29,-0.94,0.17,0.04,0.01,0.02,22.51,36.66,8.32,
71765.4,-0.28,-0.93,0.17,0.04,-0.01,0.04,23.20,36.20,8.32,
71765.5,-0.28,-0.94,0.17,0.08,0.09,-0.05,24.33,37.40,7.29,
71765.6,-0.28,-0.94,0.18,0.07,0.08,-0.04,25.12,35.98,7.83,
71765.7,-0.28,-0.93,0.18,0.07,0.07,-0.03,24.78,35.64,8.15,
71765.8,-0.28,-0.93,0.18,0.07,0.06,-0.03,23.28,37.49,9.62,
71765.9,-0.28,-0.93,0.18,0.06,0.05,-0.02,22.95,37.49,9.95,
71766.1,-0.26,-0.92,0.18,0.06,0.06,-0.02,25.79,36.98,7.17,
71766.2,-0.26,-0.92,0.17,0.02,0.06,-0.02,25.29,35.47,6.36,
71766.3,-0.25,-0.92,0.18,-0.04,0.08,-0.03,25.82,34.59,7.91,
71766.4,-0.25,-0.91,0.18,-0.05,0.06,-0.07,25.71,35.61,7.59,
71766.5,-0.26,-0.92,0.18,0.08,-0.02,0.06,26.29,34.80,7.33,
71766.6,-0.25,-0.92,0.18,0.08,-0.01,0.06,25.79,35.64,7.83,
71766.7,-0.28,-0.93,0.20,0.09,0.01,0.05,24.70,35.68,7.58,
71766.8,-0.26,-0.93,0.18,0.07,0.01,0.02,24.45,35.30,7.83,
71766.9,-0.26,-0.92,0.17,0.06,0.05,-0.01,25.79,36.31,5.86,
71767.1,-0.26,-0.92,0.19,-0.02,0.06,-0.12,23.12,36.98,8.15,
71767.2,-0.26,-0.92,0.19,0.03,0.12,-0.06,24.47,36.29,8.18,
71767.3,-0.26,-0.92,0.20,-0.04,0.05,-0.06,24.78,36.98,8.48,
71767.4,-0.26,-0.93,0.21,-0.05,0.03,-0.08,24.95,35.81,8.97,
71767.5,-0.27,-0.93,0.20,-0.05,0.01,-0.12,24.83,35.93,8.77,
71767.6,-0.27,-0.93,0.20,0.01,0.08,0.07,24.62,36.82,10.28,
