time,x,y,z,MF
19:59:14:296,28.82,5.91,-31.36,43.00
19:59:14:305,28.60,7.04,-31.73,43.29
19:59:14:325,29.31,5.13,-29.86,42.16
19:59:14:353,29.64,4.47,-29.20,41.84
19:59:14:364,30.10,5.87,-30.26,43.08
19:59:14:383,29.79,5.91,-30.04,42.72
19:59:14:395,28.93,6.03,-29.44,41.71
19:59:14:408,29.30,5.29,-29.80,42.12
19:59:14:439,29.60,4.69,-30.09,42.47
19:59:14:440,28.78,4.69,-30.89,42.48
19:59:14:457,28.60,4.69,-31.07,42.49
19:59:14:487,28.10,7.55,-29.60,41.50
19:59:14:500,28.30,6.99,-29.63,41.56
19:59:14:513,29.26,4.35,-29.77,41.97
19:59:14:540,29.33,4.14,-29.70,41.95
19:59:14:543,29.43,3.85,-29.60,41.92
19:59:14:562,27.78,4.40,-30.14,41.22
19:59:14:577,26.93,4.69,-30.42,40.89
19:59:14:593,28.53,4.83,-30.85,42.29
19:59:14:618,28.87,4.82,-30.97,42.61
19:59:14:643,30.27,4.35,-31.73,44.06
19:59:14:648,29.80,4.26,-31.54,43.60
19:59:14:667,28.60,4.02,-31.07,42.42
19:59:14:679,28.35,4.76,-30.51,41.92
19:59:14:698,28.10,5.53,-29.93,41.42
19:59:14:717,29.07,5.33,-30.31,42.33
19:59:14:723,29.77,5.19,-30.58,42.99
19:59:14:743,27.97,4.70,-30.42,41.59
19:59:14:772,28.03,4.75,-30.24,41.51
19:59:14:784,28.76,5.19,-28.95,41.14
19:59:14:802,28.81,5.14,-29.67,41.68
19:59:14:831,28.93,5.03,-31.40,42.99
19:59:14:833,29.13,5.03,-30.81,42.70
19:59:14:847,29.26,5.03,-30.42,42.51
19:59:14:858,29.12,4.30,-29.71,41.82
19:59:14:890,29.09,4.20,-29.61,41.72
19:59:14:903,28.43,6.88,-31.24,42.79
19:59:14:932,28.32,6.62,-31.20,42.65
19:59:14:934,27.93,5.70,-31.07,42.17
19:59:14:951,28.16,5.16,-31.15,42.30
19:59:14:968,28.43,4.52,-31.24,42.48
19:59:14:978,27.49,5.47,-31.47,42.14
19:59:15:11,27.26,5.87,-31.52,42.08
19:59:15:12,28.40,5.87,-31.24,42.63
19:59:15:42,28.31,5.87,-31.21,42.54
19:59:15:43,27.22,5.87,-30.94,41.63
19:59:15:66,27.20,5.54,-31.02,41.62
19:59:15:86,27.43,4.86,-31.24,41.85
19:59:15:98,27.90,4.95,-31.52,42.38
19:59:15:111,28.26,5.03,-31.73,42.79
19:59:15:134,27.05,6.79,-31.33,41.94
19:59:15:140,26.76,7.21,-31.24,41.76
19:59:15:176,28.43,6.20,-31.24,42.69
19:59:15:187,28.37,6.20,-31.34,42.73
19:59:15:206,28.10,6.20,-31.89,42.95
19:59:15:222,27.88,6.13,-31.82,42.75
19:59:15:230,27.60,6.03,-31.73,42.48
19:59:15:261,27.70,5.06,-31.83,42.50
19:59:15:278,27.66,4.77,-31.87,42.47
19:59:15:280,26.98,6.56,-31.74,42.17
19:59:15:308,26.93,6.67,-31.67,42.10
19:59:15:355,27.09,5.87,-30.58,41.28
19:59:15:357,27.71,5.95,-31.09,42.07
19:59:15:359,29.43,6.20,-32.54,44.32
19:59:15:366,28.54,6.20,-32.19,43.47
19:59:15:391,27.76,6.20,-31.89,42.73
19:59:15:397,27.71,6.15,-31.31,42.26
19:59:15:414,27.60,6.03,-30.09,41.27
19:59:15:523,28.10,5.19,-32.22,43.06
19:59:15:525,27.56,5.42,-31.99,42.58
19:59:15:526,25.76,6.20,-31.24,40.96
19:59:15:527,26.98,6.32,-31.12,41.67
19:59:15:528,29.10,6.54,-30.91,42.95
19:59:15:529,28.98,6.17,-30.79,42.73
19:59:15:532,28.93,6.03,-30.74,42.65
19:59:15:574,26.76,5.87,-31.56,41.79
19:59:15:575,26.76,5.87,-31.56,41.79
19:59:15:590,26.93,6.03,-30.74,41.31
19:59:15:626,26.93,5.45,-31.03,41.44
19:59:15:627,26.93,4.69,-31.40,41.63
19:59:15:636,27.32,5.40,-31.79,42.26
19:59:15:650,27.76,6.20,-32.22,42.98
19:59:15:670,27.36,6.34,-31.56,42.25
19:59:15:684,27.26,6.37,-31.40,42.07
19:59:15:698,27.42,6.85,-31.24,42.13
19:59:15:721,27.43,6.88,-31.24,42.13
19:59:15:752,26.76,5.87,-32.87,42.79
19:59:15:759,26.60,5.70,-32.39,42.30
19:59:15:772,26.26,5.36,-31.40,41.28
19:59:15:785,26.84,5.17,-31.21,41.49
19:59:15:805,27.26,5.03,-31.07,41.64
19:59:15:829,27.79,6.35,-31.85,42.74
19:59:15:831,27.93,6.71,-32.05,43.04
19:59:15:851,27.93,5.90,-32.32,43.12
19:59:15:875,27.76,5.73,-32.22,42.91
19:59:15:889,27.09,5.87,-31.56,42.01
19:59:15:909,27.44,5.52,-31.63,42.23
19:59:15:935,27.93,5.03,-31.73,42.57
19:59:15:936,27.02,5.71,-31.73,42.06
19:59:15:969,26.69,5.93,-31.83,41.96
19:59:15:970,27.51,5.11,-32.63,42.99
19:59:15:994,27.60,5.05,-32.68,43.07
19:59:16:14,27.76,5.87,-31.89,42.69
19:59:16:15,27.76,5.87,-31.89,42.69
19:59:16:42,26.26,7.04,-32.05,42.03
19:59:16:56,27.12,6.18,-31.88,42.31
19:59:16:74,27.93,5.36,-31.73,42.61
19:59:16:88,26.76,4.97,-32.87,42.68
19:59:16:100,26.43,4.86,-33.20,42.71
19:59:16:124,25.41,5.63,-32.70,41.79
19:59:16:144,25.27,6.00,-32.41,41.53
19:59:16:159,26.43,6.88,-31.56,41.74
19:59:16:178,27.25,6.60,-32.01,42.56
19:59:16:191,27.93,6.37,-32.38,43.23
19:59:16:207,27.00,5.64,-33.50,43.39
19:59:16:219,26.43,5.19,-34.18,43.51
19:59:16:239,27.17,5.64,-31.42,41.92
19:59:16:264,27.23,5.68,-31.16,41.77
19:59:16:278,26.26,5.03,-34.01,43.26
19:59:16:298,26.18,5.43,-33.78,43.08
19:59:16:313,25.92,6.71,-33.03,42.52
19:59:16:326,26.49,6.14,-32.32,42.24
19:59:16:343,27.09,5.53,-31.56,41.96
19:59:16:353,27.58,5.53,-31.80,42.45
19:59:16:374,27.76,5.53,-31.89,42.64
19:59:16:386,27.13,5.85,-32.81,42.97
19:59:16:421,27.04,5.92,-32.82,42.93
19:59:16:430,26.43,6.54,-32.22,42.18
19:59:16:449,26.63,7.15,-32.55,42.66
19:59:16:463,26.93,8.05,-33.03,43.37
19:59:16:477,27.02,8.90,-31.48,42.43
19:59:16:490,27.09,9.57,-30.26,41.72
19:59:16:518,26.26,9.06,-31.40,41.92
19:59:16:540,26.55,8.77,-31.63,42.21
19:59:16:542,27.65,7.66,-32.49,43.35
19:59:16:566,27.71,7.99,-32.30,43.30
19:59:16:579,26.76,10.57,-30.58,41.99
19:59:16:598,26.93,9.70,-30.64,41.93
19:59:16:612,27.26,8.05,-30.74,41.87
19:59:16:625,27.70,8.94,-31.39,42.82
19:59:16:638,27.93,9.40,-31.73,43.30
19:59:16:657,26.53,9.55,-30.96,41.88
19:59:16:682,26.50,9.69,-30.89,41.83
19:59:16:702,27.43,11.25,-30.58,42.59
19:59:16:715,27.43,11.44,-30.49,42.57
19:59:16:728,27.43,11.92,-30.26,42.54
19:59:16:747,27.16,12.90,-30.17,42.59
19:59:16:759,26.93,13.77,-30.09,42.66
19:59:16:772,27.05,13.38,-29.71,42.35
19:59:16:839,27.09,13.27,-29.60,42.26
19:59:16:842,27.58,13.43,-29.76,42.74
19:59:16:843,27.66,13.67,-29.53,42.71
19:59:16:849,27.93,14.78,-28.46,42.52
19:59:16:863,27.99,14.58,-28.14,42.28
19:59:16:876,28.10,14.27,-27.64,41.92
19:59:16:896,28.46,13.66,-28.48,42.51
19:59:16:910,28.60,13.43,-28.78,42.74
19:59:16:923,29.18,14.02,-28.50,43.13
19:59:16:957,29.27,14.11,-28.44,43.18
19:59:16:959,29.70,14.54,-26.89,42.62
19:59:16:983,29.65,14.17,-26.93,42.48
19:59:16:997,29.26,12.76,-27.80,42.34
19:59:17:12,28.78,12.52,-27.33,41.62
19:59:17:26,28.60,12.43,-27.15,41.34
19:59:17:47,29.50,12.29,-27.78,42.35
19:59:17:60,29.77,12.26,-27.97,42.64
19:59:17:73,29.60,14.40,-26.21,42.07
19:59:17:101,29.47,14.19,-26.41,42.04
19:59:17:116,28.93,13.10,-27.48,41.99
19:59:17:136,29.28,13.27,-27.65,42.40
19:59:17:150,30.27,13.77,-28.13,43.55
19:59:17:164,29.56,12.86,-27.44,42.34
19:59:17:177,29.10,12.26,-26.99,41.53
19:59:17:218,30.10,14.61,-27.97,43.61
19:59:17:220,30.10,14.61,-27.97,43.61
19:59:17:239,28.43,14.27,-27.31,41.93
19:59:17:252,28.61,13.94,-27.28,41.92
19:59:17:267,29.26,12.76,-27.15,41.91
19:59:17:281,29.38,13.34,-27.49,42.39
19:59:17:295,29.43,13.60,-27.64,42.61
19:59:17:316,29.43,13.83,-27.41,42.53
19:59:17:330,29.43,13.94,-27.31,42.50
19:59:17:343,30.66,13.32,-27.61,43.36
19:59:17:372,30.74,13.24,-27.68,43.43
19:59:17:392,30.27,12.76,-28.46,43.46
19:59:17:393,30.27,12.76,-28.46,43.46
19:59:17:420,29.93,12.76,-26.82,42.17
19:59:17:434,30.11,12.76,-27.35,42.63
19:59:17:447,30.27,12.76,-27.80,43.03
19:59:17:462,29.77,13.26,-27.07,42.36
19:59:17:476,29.60,13.43,-26.82,42.14
19:59:17:505,30.77,13.27,-26.00,42.41
19:59:17:526,30.71,13.29,-26.14,42.46
19:59:17:528,30.30,13.42,-27.08,42.79
19:59:17:553,30.27,13.43,-26.89,42.66
