time,x,y,z,MF
15:24:17:6,3.53,-25.66,-37.89,45.90
15:24:17:6,3.44,-26.00,-37.80,46.01
15:24:17:6,3.02,-27.54,-37.39,46.53
15:24:17:6,2.86,-26.93,-37.83,46.53
15:24:17:6,2.67,-26.17,-38.39,46.54
15:24:17:7,2.80,-26.54,-38.03,46.46
15:24:17:7,2.85,-26.69,-37.89,46.43
15:24:17:7,2.85,-25.34,-36.90,44.85
15:24:17:7,2.74,-25.46,-36.94,44.95
15:24:17:7,1.99,-26.52,-37.39,45.88
15:24:17:7,2.39,-26.25,-37.65,45.96
15:24:17:8,3.02,-25.83,-38.06,46.10
15:24:17:8,4.03,-26.17,-37.95,46.27
15:24:17:8,4.56,-26.35,-37.89,46.37
15:24:17:8,3.60,-27.94,-36.64,46.22
15:24:17:8,3.50,-28.02,-36.67,46.28
15:24:17:8,3.02,-27.54,-38.39,47.35
15:24:17:9,3.07,-27.49,-38.33,47.27
15:24:17:9,3.19,-27.37,-38.22,47.12
15:24:17:9,3.91,-27.48,-37.72,46.83
15:24:17:9,4.39,-27.54,-37.39,46.64
15:24:17:9,3.64,-26.50,-37.53,46.09
15:24:18:0,3.54,-26.35,-37.55,46.01
15:24:18:0,4.73,-26.52,-37.72,46.35
15:24:18:0,4.15,-26.71,-37.72,46.41
15:24:18:0,2.67,-27.20,-37.72,46.58
15:24:18:0,3.33,-27.11,-36.89,45.90
15:24:18:0,3.87,-27.03,-36.21,45.36
15:24:18:0,3.31,-26.75,-37.86,46.47
15:24:18:1,3.19,-26.69,-38.22,46.73
15:24:18:1,2.85,-26.00,-36.21,44.67
15:24:18:1,2.92,-26.08,-36.59,45.02
15:24:18:1,3.19,-26.35,-37.89,46.26
15:24:18:1,2.68,-25.67,-38.05,45.98
15:24:18:1,2.16,-24.98,-38.22,45.71
15:24:18:2,3.60,-25.89,-38.35,46.41
15:24:18:2,4.04,-26.17,-38.39,46.64
15:24:18:2,2.85,-25.66,-37.22,45.30
15:24:18:2,3.02,-25.78,-37.50,45.60
15:24:18:2,3.87,-26.35,-38.89,47.14
15:24:18:2,3.87,-26.79,-39.04,47.51
15:24:18:3,3.87,-27.37,-39.23,47.99
15:24:18:3,3.63,-27.13,-39.23,47.84
15:24:18:3,3.53,-27.03,-39.23,47.77
15:24:18:3,2.86,-27.37,-37.27,46.32
15:24:18:3,2.88,-27.15,-37.33,46.25
15:24:18:4,3.19,-25.32,-38.22,45.96
15:24:18:4,2.86,-26.03,-38.29,46.39
15:24:18:4,2.33,-27.20,-38.39,47.11
15:24:18:4,2.55,-26.09,-38.61,46.67
15:24:18:4,2.67,-25.49,-38.73,46.44
15:24:18:4,3.93,-26.75,-37.80,46.48
15:24:18:5,3.99,-26.84,-37.72,46.47
15:24:18:5,3.02,-26.52,-37.72,46.21
15:24:18:5,2.91,-26.63,-37.83,46.35
15:24:18:5,2.67,-26.86,-38.06,46.66
15:24:18:5,3.69,-27.06,-38.65,47.33
15:24:18:5,4.39,-27.20,-39.06,47.80
15:24:18:5,5.42,-27.35,-38.05,47.17
15:24:18:6,5.58,-27.37,-37.89,47.07
15:24:18:6,2.85,-28.06,-36.88,46.43
15:24:18:6,3.12,-27.69,-37.06,46.37
15:24:18:6,3.87,-26.69,-37.55,46.23
15:24:18:6,3.50,-26.50,-37.73,46.24
15:24:18:6,3.19,-26.35,-37.89,46.26
15:24:18:7,3.88,-27.04,-37.21,46.16
15:24:18:7,4.04,-27.20,-37.05,46.14
15:24:18:7,3.19,-28.06,-36.55,46.19
15:24:18:7,3.15,-27.59,-36.79,46.10
15:24:18:8,3.02,-25.83,-37.72,45.82
15:24:18:8,3.31,-26.51,-37.63,46.14
15:24:18:8,3.53,-27.03,-37.55,46.40
15:24:18:8,3.92,-27.42,-37.43,46.56
15:24:18:8,4.04,-27.54,-37.39,46.61
15:24:18:8,2.50,-26.35,-36.88,45.40
15:24:18:8,2.56,-26.29,-36.99,45.45
15:24:18:9,2.85,-26.00,-37.55,45.77
15:24:18:9,2.48,-26.66,-37.34,45.95
15:24:18:9,1.99,-27.54,-37.05,46.21
15:24:18:9,2.94,-26.36,-37.52,45.94
15:24:18:9,3.36,-25.83,-37.72,45.84
15:24:18:9,2.86,-26.00,-37.88,46.04
15:24:19:0,2.93,-26.06,-37.81,46.01
15:24:19:0,3.70,-26.52,-37.05,45.71
15:24:19:0,4.20,-26.77,-37.67,46.40
15:24:19:0,5.07,-27.20,-38.73,47.60
15:24:19:0,3.43,-26.66,-38.19,46.70
15:24:19:0,2.50,-26.35,-37.89,46.22
15:24:19:0,3.75,-26.66,-37.58,46.23
15:24:19:1,3.89,-26.69,-37.54,46.22
15:24:19:1,4.21,-26.69,-37.22,45.99
15:24:19:1,4.05,-26.96,-37.38,46.26
15:24:19:1,3.70,-27.54,-37.72,46.85
15:24:19:1,3.70,-26.55,-37.92,46.43
15:24:19:2,3.70,-25.83,-38.06,46.15
15:24:19:2,2.39,-25.40,-37.63,45.46
15:24:19:2,2.16,-25.32,-37.55,45.34
15:24:19:2,3.19,-28.40,-37.55,47.19
15:24:19:2,3.23,-27.66,-37.42,46.65
15:24:19:2,3.36,-25.49,-37.05,45.10
15:24:19:3,3.18,-25.85,-36.87,45.15
15:24:19:3,3.02,-26.17,-36.72,45.19
15:24:19:3,3.70,-27.95,-37.38,46.82
15:24:19:3,3.87,-28.40,-37.55,47.24
15:24:19:3,2.85,-27.37,-38.89,47.65
15:24:19:3,3.05,-27.24,-38.83,47.53
15:24:19:4,3.87,-26.69,-38.56,47.05
15:24:19:4,2.83,-26.61,-38.17,46.61
15:24:19:4,1.65,-26.52,-37.72,46.14
15:24:19:4,3.42,-26.77,-37.23,45.98
15:24:19:4,4.04,-26.86,-37.05,45.94
15:24:19:4,3.02,-27.54,-37.39,46.53
15:24:19:5,3.04,-27.27,-37.41,46.39
15:24:19:5,3.19,-25.66,-37.55,45.60
15:24:19:5,3.61,-26.80,-37.55,46.28
15:24:19:5,4.21,-28.40,-37.55,47.27
15:24:19:5,3.74,-27.46,-38.24,47.23
15:24:19:5,3.53,-27.03,-38.56,47.22
15:24:19:5,2.71,-28.18,-37.76,47.19
15:24:19:6,2.80,-28.08,-37.75,47.13
15:24:19:6,4.04,-26.52,-38.06,46.56
15:24:19:6,3.61,-26.70,-37.75,46.38
15:24:19:6,2.85,-27.03,-37.22,46.09
15:24:19:6,3.38,-25.85,-36.90,45.18
15:24:19:7,3.70,-25.15,-36.72,44.66
15:24:19:7,3.55,-27.46,-37.47,46.59
15:24:19:7,3.54,-27.64,-37.55,46.76
15:24:19:7,3.87,-25.66,-37.55,45.65
15:24:19:7,3.66,-25.77,-38.16,46.19
15:24:19:7,3.19,-26.00,-39.56,47.45
15:24:19:8,3.78,-26.60,-38.21,46.71
15:24:19:8,4.21,-27.03,-37.22,46.19
15:24:19:8,3.70,-27.20,-37.39,46.38
15:24:19:8,3.03,-26.70,-37.60,46.22
15:24:19:8,2.67,-25.15,-37.72,45.41
15:24:19:9,3.65,-25.34,-37.53,45.43
15:24:19:9,4.39,-25.49,-37.39,45.46
15:24:19:9,3.96,-25.63,-36.13,44.48
15:24:19:9,3.87,-25.66,-35.88,44.28
15:24:19:9,2.85,-26.00,-37.55,45.77
15:24:19:9,2.85,-26.00,-37.55,45.77
15:24:19:9,4.73,-26.86,-38.39,47.09
15:24:20:0,4.46,-27.30,-38.31,47.25
15:24:20:0,4.21,-27.71,-38.22,47.40
15:24:20:0,3.82,-26.26,-37.83,46.21
15:24:20:0,3.70,-25.83,-37.72,45.87
15:24:20:0,3.87,-26.35,-35.88,44.68
15:24:20:0,3.54,-26.21,-36.40,45.00
15:24:20:1,2.16,-25.66,-38.56,46.37
15:24:20:1,2.32,-25.98,-37.64,45.79
15:24:20:1,2.50,-26.35,-36.55,45.12
15:24:20:1,2.87,-27.21,-37.15,46.14
15:24:20:1,3.02,-27.54,-37.39,46.53
15:24:20:1,2.68,-26.20,-40.02,47.91
15:24:20:2,2.75,-26.10,-39.52,47.45
15:24:20:2,3.19,-25.66,-36.21,44.50
15:24:20:2,3.19,-25.66,-36.21,44.50
15:24:20:2,4.70,-27.48,-37.40,46.64
15:24:20:2,4.87,-27.69,-37.57,46.92
15:24:20:2,3.19,-26.35,-38.22,46.53
15:24:20:3,3.04,-26.69,-37.79,46.36
15:24:20:3,2.67,-27.54,-36.72,45.98
15:24:20:3,3.63,-26.78,-37.65,46.35
15:24:20:3,4.39,-26.17,-38.39,46.67
15:24:20:3,2.40,-25.33,-36.72,44.67
15:24:20:3,1.99,-25.15,-36.38,44.27
15:24:20:4,3.19,-27.03,-37.89,46.65
15:24:20:4,3.31,-26.83,-37.46,46.20
15:24:20:4,3.70,-26.17,-36.05,44.70
15:24:20:4,3.53,-26.17,-37.22,45.64
15:24:20:4,3.36,-26.17,-38.39,46.59
15:24:20:4,4.15,-26.70,-38.65,47.16
15:24:20:5,4.39,-26.86,-38.73,47.33
15:24:20:5,2.33,-25.49,-38.06,45.86
15:24:20:5,2.57,-25.91,-38.00,46.06
15:24:20:5,3.70,-27.89,-37.72,47.06
15:24:20:5,4.46,-26.82,-38.17,46.86
15:24:20:5,5.41,-25.49,-38.73,46.68
15:24:20:6,3.45,-25.74,-37.29,45.44
15:24:20:6,2.67,-25.83,-36.72,44.97
15:24:20:6,3.52,-27.01,-38.53,47.19
15:24:20:6,3.55,-26.93,-38.42,47.05
15:24:20:6,3.70,-26.17,-37.39,45.79
15:24:20:6,3.43,-26.04,-37.78,46.01
15:24:20:7,3.02,-25.83,-38.39,46.37
15:24:20:7,2.79,-26.74,-37.95,46.51
15:24:20:7,2.67,-27.20,-37.72,46.58
15:24:20:7,3.15,-25.77,-37.25,45.41
15:24:20:7,3.15,-25.61,-37.23,45.30
15:24:20:8,2.67,-24.81,-37.39,44.95
15:24:20:8,3.02,-25.26,-37.95,45.69
15:24:20:8,3.70,-26.17,-39.06,47.17
15:24:20:8,2.98,-25.87,-38.56,46.52
15:24:20:8,2.50,-25.66,-38.22,46.11
15:24:20:8,3.13,-25.39,-38.31,46.07
15:24:20:9,3.70,-25.16,-38.39,46.05
15:24:20:9,3.19,-26.00,-38.56,46.62
15:24:20:9,2.95,-26.24,-38.23,46.47
15:24:20:9,2.33,-26.86,-37.39,46.09
15:24:20:9,2.52,-25.92,-37.94,46.02
15:24:20:9,2.67,-25.15,-38.39,45.97
15:24:20:9,3.09,-26.69,-37.43,46.08
15:24:21:0,3.19,-27.03,-37.22,46.11
15:24:21:0,3.19,-26.35,-36.88,45.44
15:24:21:0,3.00,-26.23,-36.99,45.45
15:24:21:0,2.33,-25.83,-37.39,45.50
15:24:21:0,2.33,-26.00,-37.55,45.73
