Time	Theta	Phi
0.074000	83.266338	-0.612873
0.075000	83.322163	-0.810216
0.075000	84.928015	0.110232
0.076000	84.847426	0.463237
0.076000	84.643258	1.250128
0.086000	84.674054	0.756804
0.105000	84.692866	0.395837
0.118000	86.644095	0.978426
0.133000	86.986267	1.108350
0.160000	87.640505	-0.362001
0.180000	87.473192	-0.196013
0.191000	87.010983	0.285800
0.204000	87.797837	1.950499
0.220000	88.292424	3.636074
0.234000	87.554957	2.320799
0.250000	87.318345	1.972763
0.279000	89.411082	2.385208
0.293000	89.489214	2.474746
0.310000	89.832942	2.851840
0.330000	90.350659	3.465865
0.338000	90.915791	4.226637
0.354000	90.924303	3.418148
0.368000	90.917204	3.110727
0.385000	89.002390	6.153001
0.412000	88.912747	6.165389
0.427000	88.414896	6.154980
0.447000	88.684345	6.007664
0.465000	89.085567	5.787679
0.474000	87.159506	6.446571
0.490000	86.196877	6.840584
0.505000	86.175918	7.511694
0.531000	85.903314	7.621710
0.546000	82.328122	8.630294
0.560000	81.971441	8.883246
0.594000	81.257056	9.403210
0.596000	79.215920	9.836559
0.605000	77.911539	10.257715
0.620000	73.317967	13.542713
0.649000	72.664578	14.095787
0.664000	71.223677	14.908304
0.679000	70.576489	15.622527
0.693000	68.929937	17.549696
0.708000	67.524492	19.375530
0.732000	66.433628	20.878258
0.753000	63.136065	25.953399
0.754000	62.402604	27.208269
0.783000	60.348030	30.851422
0.797000	59.991056	31.569009
0.811000	58.831239	34.134975
0.827000	58.458976	35.064457
0.841000	58.085231	36.168607
0.874000	57.278969	38.947257
0.875000	57.049008	39.892995
0.901000	56.668373	41.567622
0.916000	56.631921	41.793757
0.930000	56.456392	43.053920
0.945000	56.597730	42.432933
0.960000	56.793466	41.591573
0.975000	56.981294	41.428840
0.989000	57.060433	41.380969
1.007000	57.185839	40.538486
1.035000	57.211101	40.466879
1.054000	57.376283	40.201961
1.063000	57.447573	39.926055
1.079000	57.572139	39.426321
1.093000	57.731712	38.485673
1.107000	57.832846	37.944008
1.125000	58.378476	35.576121
1.157000	58.451506	35.276591
1.168000	58.692393	34.352001
1.182000	58.854874	33.777704
1.197000	59.265261	32.400086
1.211000	59.592942	31.280214
1.227000	59.837191	30.447333
1.242000	60.328418	29.134148
1.255000	60.430699	28.879079
1.289000	61.532543	25.534491
1.300000	61.654780	25.313358
1.315000	62.053575	24.632174
1.330000	62.498725	23.191184
1.344000	62.921696	21.771063
1.359000	61.740146	23.746625
1.376000	61.389798	24.441122
1.403000	61.913929	22.287056
1.422000	61.596045	22.761797
1.444000	60.187098	25.608783
1.448000	59.949544	25.866289
1.462000	59.631847	26.349554
1.478000	59.219223	27.807661
1.494000	59.068140	28.490845
1.507000	58.651777	31.354018
1.546000	58.637044	31.627739
1.552000	58.590090	33.306607
1.567000	58.579536	34.337742
1.581000	58.742501	36.398984
1.596000	58.799684	36.575987
1.615000	58.839583	36.714037
1.628000	59.386751	39.505379
1.655000	59.497436	39.944204
1.671000	60.506796	42.993092
1.710000	60.448391	42.669256
1.711000	60.318627	41.979669
1.714000	60.362187	41.702529
1.731000	60.406630	41.568171
1.750000	61.159156	43.726596
1.758000	61.287312	44.072379
1.788000	60.763059	42.347058
1.808000	60.482315	41.525757
1.817000	59.736806	39.162622
1.832000	59.812766	39.422848
1.847000	59.879738	39.648077
