time,x,y,z,MF
11:16:15:8,24.57,11.68,-40.38,48.69
11:16:15:8,24.92,12.49,-41.41,49.92
11:16:15:8,25.79,12.27,-40.77,49.78
11:16:15:8,26.29,12.15,-40.40,49.71
11:16:15:9,25.81,11.99,-39.32,48.54
11:16:15:9,25.71,11.95,-39.34,48.49
11:16:15:9,25.09,11.64,-40.57,49.10
11:16:15:9,24.97,11.52,-40.69,49.11
11:16:15:9,24.75,11.29,-40.91,49.12
11:16:15:9,25.27,12.25,-39.35,48.34
11:16:16:0,25.60,12.83,-38.39,47.90
11:16:16:0,25.14,12.38,-40.92,49.60
11:16:16:0,25.12,12.38,-41.19,49.81
11:16:16:0,25.77,13.69,-40.23,49.70
11:16:16:0,25.72,13.31,-40.18,49.53
11:16:16:1,25.60,12.49,-40.07,49.16
11:16:16:1,24.90,12.99,-41.33,49.97
11:16:16:1,24.40,13.35,-42.25,50.58
11:16:16:1,26.00,14.65,-40.11,50.00
11:16:16:1,26.28,14.88,-39.74,49.91
11:16:16:1,25.26,13.18,-40.40,49.44
11:16:16:2,25.45,13.27,-40.12,49.33
11:16:16:2,25.94,13.52,-39.40,49.07
11:16:16:2,25.66,13.24,-39.49,48.92
11:16:16:2,25.43,13.01,-39.56,48.80
11:16:16:2,25.98,13.28,-39.29,48.94
11:16:16:2,26.12,13.35,-39.23,48.98
11:16:16:3,25.26,13.86,-39.73,49.08
11:16:16:3,25.34,13.62,-39.89,49.18
11:16:16:3,25.60,12.83,-40.40,49.52
11:16:16:3,25.17,13.61,-40.49,49.58
11:16:16:3,24.75,14.37,-40.57,49.65
11:16:16:3,24.61,14.24,-39.41,48.59
11:16:16:3,24.57,14.20,-39.06,48.29
11:16:16:4,27.83,13.01,-39.23,49.82
11:16:16:4,27.14,13.21,-39.29,49.55
11:16:16:4,24.40,14.03,-39.56,48.56
11:16:16:4,24.96,13.95,-39.17,48.50
11:16:16:4,25.60,13.86,-38.73,48.45
11:16:16:5,24.22,13.48,-40.08,48.73
11:16:16:5,23.72,13.35,-40.57,48.85
11:16:16:5,23.89,14.20,-40.74,49.32
11:16:16:5,24.00,14.04,-40.68,49.28
11:16:16:5,24.57,13.18,-40.40,49.09
11:16:16:5,24.65,12.95,-40.33,49.01
11:16:16:6,24.75,12.66,-40.23,48.90
11:16:16:6,25.94,13.38,-40.93,50.27
11:16:16:6,26.46,13.69,-41.24,50.87
11:16:16:6,25.14,12.04,-39.95,48.71
11:16:16:6,24.96,12.10,-39.94,48.63
11:16:16:6,24.06,13.01,-40.23,48.65
11:16:16:7,24.46,13.01,-40.23,48.85
11:16:16:7,25.09,13.01,-40.23,49.17
11:16:16:7,26.10,11.99,-39.90,49.17
11:16:16:7,26.63,11.47,-39.73,49.19
11:16:16:7,24.73,11.78,-40.35,48.77
11:16:16:8,24.64,11.85,-40.39,48.77
11:16:16:8,25.43,12.32,-40.23,49.17
11:16:16:8,25.19,12.44,-40.59,49.36
11:16:16:8,24.75,12.66,-41.24,49.73
11:16:16:8,25.38,13.30,-40.82,49.88
11:16:16:8,25.77,13.69,-40.57,49.98
11:16:16:8,26.53,12.02,-41.02,50.31
11:16:16:9,26.56,11.86,-41.05,50.31
11:16:16:9,25.09,13.01,-40.57,49.44
11:16:16:9,25.14,12.84,-40.52,49.38
11:16:16:9,25.26,12.49,-40.40,49.26
