time,ax,ay,az,gx,gy,gz,mx,my,mz,
40581.7,-0.06,-0.02,0.95,-0.24,0.05,-0.04,25.50,13.21,-40.25,
40581.8,0.00,-0.00,0.90,0.02,-0.08,0.08,26.60,13.82,-40.38,
40581.9,-0.09,-0.03,0.90,-0.01,-0.05,-0.01,25.84,13.03,-40.74,
40582.0,-0.07,-0.03,0.90,-0.00,0.05,-0.06,25.43,15.06,-39.56,
40582.1,-0.04,-0.03,0.90,-0.05,-0.01,-0.04,25.43,14.72,-40.23,
40582.2,-0.06,-0.04,0.93,-0.01,-0.01,-0.03,24.92,14.20,-40.07,
40582.3,-0.06,-0.02,0.90,0.03,0.01,-0.00,25.43,13.35,-39.90,
40582.4,-0.04,-0.04,0.91,0.01,-0.01,-0.02,25.36,14.32,-39.16,
40582.5,-0.03,-0.03,0.90,-0.01,-0.02,-0.07,25.09,13.01,-39.56,
40582.6,-0.03,-0.03,0.89,0.05,-0.11,-0.13,25.09,14.72,-38.56,
40582.7,0.10,-0.08,0.88,-0.14,-0.22,-0.21,25.08,13.69,-39.90,
40582.8,0.02,-0.15,0.86,-0.20,-0.12,-0.43,23.38,14.03,-40.91,
40582.9,-0.02,-0.13,0.87,-0.15,-0.09,-0.52,21.79,14.30,-41.42,
40583.0,0.01,-0.08,0.82,-0.17,-0.13,-0.20,21.08,14.63,-40.26,
40583.1,-0.03,-0.17,1.01,-0.35,0.10,-0.40,20.47,14.54,-41.07,
40583.2,0.02,-0.14,0.91,-0.15,0.23,-0.44,18.54,14.59,-39.90,
40583.3,0.00,-0.13,0.92,-0.30,0.28,-0.51,20.71,12.76,-41.87,
40583.4,-0.12,-0.20,0.97,-0.13,0.65,-0.44,23.10,14.39,-42.84,
40583.5,-0.05,-0.19,0.99,-0.23,0.25,-0.14,22.55,15.06,-40.51,
40583.6,-0.08,-0.19,0.90,-0.14,0.59,-0.29,23.72,16.09,-37.89,
40583.7,-0.21,-0.25,0.97,-0.15,0.48,-0.27,27.02,16.03,-38.18,
40583.8,-0.24,-0.23,0.85,-0.12,0.08,0.07,29.02,15.91,-36.38,
40583.9,-0.22,-0.24,0.88,-0.10,0.09,0.10,27.48,17.11,-37.55,
40584.0,-0.19,-0.26,0.89,-0.04,-0.03,0.01,27.06,17.17,-37.51,
40584.1,-0.19,-0.24,0.87,0.00,-0.00,0.01,28.00,16.26,-37.72,
40584.2,-0.21,-0.26,0.88,0.01,0.10,0.01,28.50,16.20,-36.89,
40584.3,-0.21,-0.26,0.87,-0.01,-0.02,0.01,28.02,15.90,-36.07,
40584.4,-0.21,-0.25,0.86,0.02,-0.02,-0.02,27.14,16.43,-36.88,
40584.5,-0.22,-0.25,0.88,0.05,0.02,-0.06,29.33,17.69,-38.58,
40584.6,-0.21,-0.31,0.88,0.14,-0.27,-0.16,29.02,17.28,-38.06,
40584.7,-0.10,-0.27,0.94,0.03,0.09,-0.39,26.57,16.40,-39.68,
40584.8,-0.13,-0.22,0.90,0.27,0.40,-0.38,26.41,19.05,-38.70,
40584.9,-0.30,-0.17,0.70,-0.02,0.46,0.03,28.15,18.84,-38.13,
40585.0,-0.24,-0.18,0.95,-0.19,0.05,-0.13,29.63,18.32,-40.29,
40585.1,-0.36,-0.27,0.90,0.41,0.15,-0.14,28.85,17.80,-39.56,
40585.2,-0.30,-0.28,0.83,-0.20,-0.37,-0.09,29.07,18.04,-38.91,
40585.3,-0.27,-0.20,0.90,-0.06,0.17,-0.06,30.10,17.20,-41.31,
40585.4,-0.30,-0.24,0.82,-0.04,-0.17,0.05,27.66,18.65,-39.06,
40585.5,-0.27,-0.23,0.88,0.04,0.05,-0.02,28.68,18.99,-40.74,
40585.6,-0.27,-0.23,0.90,0.07,-0.01,-0.03,28.68,18.99,-39.06,
40585.7,-0.24,-0.26,1.02,0.34,0.09,-0.30,28.68,18.99,-39.06,
40585.8,-0.32,-0.15,1.02,0.80,0.23,-0.02,28.98,20.30,-38.89,
