time,x,y,z,MF
11:13:39:0,28.29,10.18,-37.98,48.44
11:13:39:0,28.17,9.93,-38.22,48.51
11:13:39:0,27.70,10.08,-38.68,48.63
11:13:39:1,27.62,10.03,-38.68,48.57
11:13:39:1,26.80,8.56,-37.55,46.92
11:13:39:1,27.12,9.20,-38.60,48.07
11:13:39:1,27.83,10.61,-40.91,50.60
11:13:39:1,27.32,9.91,-39.23,48.82
11:13:39:1,26.97,9.41,-38.06,47.58
11:13:39:1,27.85,10.59,-39.50,49.48
11:13:39:2,28.00,10.78,-39.73,49.79
11:13:39:2,28.00,10.10,-39.40,49.37
11:13:39:2,27.90,10.10,-39.21,49.18
11:13:39:2,27.66,10.10,-38.73,48.65
11:13:39:2,28.12,9.44,-38.45,48.56
11:13:39:2,28.51,8.90,-38.22,48.51
11:13:39:3,27.53,9.04,-39.74,49.18
11:13:39:3,27.31,9.07,-40.07,49.33
11:13:39:3,26.80,9.93,-38.89,48.26
11:13:39:3,27.23,9.96,-39.01,48.60
11:13:39:3,28.68,10.10,-39.40,49.77
11:13:39:3,28.51,9.92,-39.23,49.50
11:13:39:4,28.34,9.75,-39.06,49.24
11:13:39:4,27.27,9.22,-38.02,47.69
11:13:39:4,26.97,9.07,-37.72,47.25
11:13:39:4,27.66,10.78,-38.06,48.26
11:13:39:4,27.78,10.59,-38.06,48.29
11:13:39:5,28.34,9.75,-38.06,48.44
11:13:39:5,28.58,9.36,-39.06,49.30
11:13:39:5,28.85,8.90,-40.23,50.30
11:13:39:5,28.47,8.77,-40.11,49.97
11:13:39:5,28.34,8.73,-40.07,49.85
11:13:39:6,28.51,10.61,-39.23,49.64
11:13:39:6,28.66,10.26,-39.03,49.50
11:13:39:6,29.54,8.22,-37.89,48.74
11:13:39:6,29.10,8.79,-37.89,48.58
11:13:39:6,28.51,9.58,-37.89,48.38
11:13:39:6,27.80,10.29,-38.82,48.84
11:13:39:6,27.48,10.61,-39.23,49.06
11:13:39:6,26.82,9.28,-39.88,48.95
11:13:39:7,26.92,9.15,-39.71,48.84
11:13:39:7,28.00,8.39,-38.06,47.98
11:13:39:7,27.80,8.97,-38.37,48.23
11:13:39:7,27.48,9.93,-38.89,48.65
11:13:39:7,27.82,10.04,-38.78,48.77
11:13:39:7,28.00,10.10,-38.73,48.84
11:13:39:8,28.31,9.78,-39.96,49.94
11:13:39:8,28.31,9.76,-39.97,49.94
11:13:39:8,27.83,9.93,-38.56,48.58
11:13:39:8,27.77,9.75,-39.06,48.91
11:13:39:8,27.66,9.41,-40.07,49.59
11:13:39:9,27.97,9.93,-38.34,48.48
11:13:39:9,28.17,10.27,-37.22,47.79
11:13:39:9,27.57,9.36,-39.28,48.89
11:13:39:9,27.48,9.23,-39.56,49.04
11:13:39:9,27.48,8.90,-39.23,48.72
11:13:39:9,27.93,9.55,-39.38,49.21
11:13:40:0,29.02,11.12,-39.73,50.45
11:13:40:0,28.15,10.45,-38.69,48.98
11:13:40:0,27.48,9.93,-37.89,47.85
11:13:40:0,27.63,10.64,-38.03,48.19
11:13:40:1,27.66,10.78,-38.06,48.26
11:13:40:1,27.48,10.27,-38.89,48.72
11:13:40:1,27.44,10.14,-38.77,48.57
11:13:40:1,27.31,9.75,-38.39,48.11
11:13:40:1,28.03,10.29,-38.57,48.77
11:13:40:1,28.68,10.78,-38.73,49.38
11:13:40:1,28.41,10.24,-37.66,48.27
11:13:40:1,28.34,10.10,-37.39,47.99
11:13:40:2,28.00,8.04,-40.07,49.54
11:13:40:2,27.86,8.11,-39.66,49.14
11:13:40:2,27.31,8.39,-38.06,47.59
11:13:40:2,27.56,8.47,-37.98,47.68
11:13:40:2,27.83,8.56,-37.89,47.78
11:13:40:2,27.95,9.71,-38.77,48.77
11:13:40:3,28.00,10.10,-39.06,49.11
11:13:40:3,28.17,8.22,-38.22,48.19
11:13:40:3,28.08,8.74,-38.42,48.38
11:13:40:3,27.66,11.47,-39.40,49.48
11:13:40:3,27.73,10.79,-39.03,49.08
11:13:40:3,27.83,9.93,-38.56,48.58
11:13:40:4,27.34,9.68,-39.51,49.01
11:13:40:4,27.14,9.58,-39.90,49.20
11:13:40:4,28.32,9.75,-40.39,50.29
11:13:40:4,28.28,9.86,-40.26,50.18
11:13:40:4,27.83,10.61,-39.23,49.25
11:13:40:4,27.69,10.48,-38.83,48.83
11:13:40:5,27.48,10.27,-38.22,48.19
11:13:40:5,27.37,10.15,-38.33,48.18
11:13:40:5,27.31,10.10,-38.39,48.18
11:13:40:5,27.96,9.77,-38.71,48.74
11:13:40:5,28.00,9.70,-38.80,48.82
11:13:40:5,28.00,9.07,-39.73,49.44
11:13:40:6,28.18,9.13,-38.97,48.95
11:13:40:6,28.51,9.24,-37.55,48.05
11:13:40:6,28.08,9.67,-38.60,48.70
11:13:40:6,27.83,9.93,-39.23,49.11
11:13:40:6,28.29,9.16,-39.38,49.34
11:13:40:6,28.39,9.10,-39.34,49.36
11:13:40:7,29.71,10.10,-37.72,49.06
11:13:40:7,29.44,10.04,-38.19,49.25
11:13:40:7,28.85,9.93,-39.23,49.70
11:13:40:7,27.85,9.93,-38.64,48.66
11:13:40:7,27.14,9.93,-38.22,47.92
