Relative Time (to start of segment),aclx 1 - Value,aclx 1 - Is positive Peak,aclx 2 - Value,aclx 2 - Is positive Peak,aclx 3 - Value,aclx 3 - Is positive Peak,aclx 4 - Value,aclx 4 - Is positive Peak,aclx 5 - Value,aclx 5 - Is positive Peak,aclx 6 - Value,aclx 6 - Is positive Peak,acly 1 - Value,acly 1 - Is positive Peak,acly 2 - Value,acly 2 - Is positive Peak,acly 3 - Value,acly 3 - Is positive Peak,acly 4 - Value,acly 4 - Is positive Peak,acly 5 - Value,acly 5 - Is positive Peak,acly 6 - Value,acly 6 - Is positive Peak,aclz 1 - Value,aclz 1 - Is positive Peak,aclz 2 - Value,aclz 2 - Is positive Peak,aclz 3 - Value,aclz 3 - Is positive Peak,aclz 4 - Value,aclz 4 - Is positive Peak,aclz 5 - Value,aclz 5 - Is positive Peak,aclz 6 - Value,aclz 6 - Is positive Peak,gyrx 1 - Value,gyrx 1 - Is positive Peak,gyrx 2 - Value,gyrx 2 - Is positive Peak,gyrx 3 - Value,gyrx 3 - Is positive Peak,gyrx 4 - Value,gyrx 4 - Is positive Peak,gyrx 5 - Value,gyrx 5 - Is positive Peak,gyrx 6 - Value,gyrx 6 - Is positive Peak,gyry 1 - Value,gyry 1 - Is positive Peak,gyry 2 - Value,gyry 2 - Is positive Peak,gyry 3 - Value,gyry 3 - Is positive Peak,gyry 4 - Value,gyry 4 - Is positive Peak,gyry 5 - Value,gyry 5 - Is positive Peak,gyry 6 - Value,gyry 6 - Is positive Peak,gyrz 1 - Value,gyrz 1 - Is positive Peak,gyrz 2 - Value,gyrz 2 - Is positive Peak,gyrz 3 - Value,gyrz 3 - Is positive Peak,gyrz 4 - Value,gyrz 4 - Is positive Peak,gyrz 5 - Value,gyrz 5 - Is positive Peak,gyrz 6 - Value,gyrz 6 - Is positive Peak,magr 1 - Value,magr 1 - Is positive Peak,magr 2 - Value,magr 2 - Is positive Peak,magr 3 - Value,magr 3 - Is positive Peak,magr 4 - Value,magr 4 - Is positive Peak,magr 5 - Value,magr 5 - Is positive Peak,magr 6 - Value,magr 6 - Is positive Peak,magphi 1 - Value,magphi 1 - Is positive Peak,magphi 2 - Value,magphi 2 - Is positive Peak,magphi 3 - Value,magphi 3 - Is positive Peak,magphi 4 - Value,magphi 4 - Is positive Peak,magphi 5 - Value,magphi 5 - Is positive Peak,magphi 6 - Value,magphi 6 - Is positive Peak,magtheta 1 - Value,magtheta 1 - Is positive Peak,magtheta 2 - Value,magtheta 2 - Is positive Peak,magtheta 3 - Value,magtheta 3 - Is positive Peak,magtheta 4 - Value,magtheta 4 - Is positive Peak,magtheta 5 - Value,magtheta 5 - Is positive Peak,magtheta 6 - Value,magtheta 6 - Is positive Peak,
0.541667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097039,1,,,,,,,,,,,,,,,,,,,,,,,
0.541667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079166,1,,,,,,,,,,,
0.555556,,,-0.011017,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.592593,,,,,,,,,,,,,,,-0.119774,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.370370,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037586,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.555556,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.814815,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012565,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.089129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106652,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.070327,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.094830,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.028541,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007443,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.629630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.090415,1,,,,,,,,,,,,,,,,,,,,,
0.629630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.070268,1,,,,,,,,,
0.521739,,,,,-0.061047,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.521739,,,,,,,,,,,,,,,,,-0.083559,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081653,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.304348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.086172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.739130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106947,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084907,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.782609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.102875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.217391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.053541,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050625,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.521739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049603,1,,,,,,,,,,,,,,,,,,,
0.521739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055684,1,,,,,,,
0.565217,,,,,,,-0.066286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.521739,,,,,,,,,,,,,,,,,,,-0.076783,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.260870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051339,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.521739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062455,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.217391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.073455,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.739130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096596,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.217391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085913,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.098098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.304348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044829,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.060852,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047866,1,,,,,,,,,,,,,,,,,
0.565217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058199,1,,,,,
0.500000,,,,,,,,,-0.063773,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.409091,,,,,,,,,,,,,,,,,,,,,-0.034698,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.409091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.094922,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083732,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.227273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077617,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.681818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.096339,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.049753,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048352,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016369,1,,,,,,,,,,,,,,,
0.818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031937,0,,,,,,,,,,,,,,,
0.454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038925,1,,,
0.416667,,,,,,,,,,,-0.052286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.458333,,,,,,,,,,,,,,,,,,,,,,,-0.066458,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086535,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.208333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.087503,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.208333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.080885,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.109410,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.208333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.072102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055928,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050326,1,,,,,,,,,,,,,
0.458333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044573,1,
