Samples per Trial
10
Column,Signature Length,Signature...
2,1,0,1,0,1,
Time,aclx (mu), aclx (sigma),acly (mu), acly (sigma),aclz (mu), aclz (sigma),gyrx (mu), gyrx (sigma),gyry (mu), gyry (sigma),gyrz (mu), gyrz (sigma),magr (mu), magr (sigma),magphi (mu), magphi (sigma),magtheta (mu), magtheta (sigma),
0.000000,-0.866397,0.347296,-0.988353,0.382387,0.622123,0.274979,-0.069657,0.065941,0.000797,0.086681,0.024002,0.072276,0.000000,0.000000,0.998398,0.389827,0.825923,0.332970,
0.100000,-0.821995,0.337238,-1.028697,0.396983,0.903063,0.387553,0.011607,0.143085,-0.102694,0.095295,0.227675,0.118551,0.000000,0.000000,1.018411,0.397802,0.805494,0.329027,
0.200000,-0.578831,0.300185,-0.713772,0.351644,0.790771,0.376376,0.863443,0.413938,-0.739187,0.327450,0.705796,0.365401,0.000000,0.000000,0.749203,0.378738,0.510321,0.263602,
0.300000,0.845056,0.528200,0.028168,0.177552,-0.983453,0.472993,0.120570,0.520537,-0.635779,0.643285,1.179785,0.518260,0.000000,0.000000,-0.012893,0.269461,-0.989623,0.511811,
0.400000,0.646392,0.532897,0.069716,0.424819,-0.689300,0.278473,0.907254,0.533911,0.949001,0.434543,-0.336593,0.370902,0.000000,0.000000,0.068772,0.355674,-0.746374,0.524930,
0.500000,-0.340400,0.335425,1.114677,0.458796,0.199007,0.311299,-0.449363,0.686557,-0.633153,1.005096,0.150005,0.305344,0.000000,0.000000,-0.928351,0.393396,0.390039,0.262817,
0.600000,0.513745,0.322393,0.443866,0.203734,-0.402211,0.193932,-0.563997,0.434752,-0.818672,0.415589,0.322669,0.400742,0.000000,0.000000,-0.566030,0.279755,-0.484671,0.284828,
0.700000,0.608288,0.352487,0.625072,0.266645,-0.530051,0.234953,0.137646,0.273294,0.353650,0.265333,-0.832946,0.394557,0.000000,0.000000,-0.799135,0.361765,-0.374566,0.300076,
0.800000,-0.368707,0.315924,0.026071,0.403108,0.655427,0.304624,-0.968199,0.396912,0.735161,0.373644,-0.823524,0.354951,0.000000,0.000000,-0.114729,0.440540,0.440230,0.248890,
0.900000,-0.863332,0.332054,-0.823911,0.344910,0.811196,0.333025,-0.305370,0.244444,0.267911,0.163762,-0.363379,0.206967,0.000000,0.000000,0.804422,0.350049,0.798917,0.312176,
