Samples per Trial
12
Column,Signature Length,Signature...
3,1,0,1,0,1,0,
aclx (mu), aclx (sigma),acly (mu), acly (sigma),aclz (mu), aclz (sigma),gyrx (mu), gyrx (sigma),gyry (mu), gyry (sigma),gyrz (mu), gyrz (sigma),magr (mu), magr (sigma),magphi (mu), magphi (sigma),magtheta (mu), magtheta (sigma),
-0.172103,0.152445,-0.266095,0.210035,0.170187,0.160701,-0.003818,0.049175,0.002902,0.042791,-0.008824,0.068777,0.000000,0.000000,0.257725,0.184357,0.203214,0.139306,
-0.148086,0.134009,-0.237085,0.157049,0.259316,0.185213,0.162476,0.181355,-0.064098,0.128065,0.021769,0.281992,0.000000,0.000000,0.238120,0.158859,0.171806,0.127910,
-0.010034,0.177419,-0.035151,0.099240,0.004897,0.150540,0.267779,0.243587,-0.180699,0.224906,0.178544,0.373917,0.000000,0.000000,0.040921,0.133165,0.004767,0.234064,
0.203278,0.201814,0.076762,0.229470,-0.241962,0.209017,0.013900,0.208682,-0.094917,0.187555,0.196583,0.287634,0.000000,0.000000,-0.095945,0.311491,-0.225347,0.224405,
0.187867,0.298991,0.035562,0.317333,-0.187244,0.270503,0.006038,0.176380,0.145590,0.332828,-0.019371,0.291266,0.000000,0.000000,-0.041645,0.382379,-0.229497,0.271477,
0.028370,0.321166,0.098277,0.142480,-0.105748,0.293268,0.185644,0.412453,0.261931,0.170475,-0.169882,0.303108,0.000000,0.000000,-0.065057,0.158309,-0.079451,0.252313,
-0.189434,0.369989,0.209052,0.213890,-0.038465,0.308629,0.039774,0.146602,0.049028,0.343695,-0.011014,0.333319,0.000000,0.000000,-0.120092,0.291977,0.146417,0.203587,
-0.023100,0.190192,0.149563,0.135164,-0.044511,0.150223,-0.181922,0.252451,-0.264114,0.214769,0.226569,0.375201,0.000000,0.000000,-0.111103,0.211397,0.010589,0.140183,
0.163812,0.127671,0.080045,0.085710,-0.118736,0.161926,0.004487,0.091021,-0.166342,0.315315,0.083746,0.365079,0.000000,0.000000,-0.100718,0.143955,-0.172178,0.154136,
0.213907,0.343607,0.141912,0.112180,-0.129581,0.170310,0.000286,0.121013,0.062128,0.151712,-0.126635,0.360662,0.000000,0.000000,-0.209878,0.147614,-0.170989,0.399984,
0.052668,0.246847,0.047008,0.184939,0.071572,0.167997,-0.261520,0.212547,0.169551,0.153584,-0.206795,0.180181,0.000000,0.000000,-0.096077,0.163184,0.003570,0.218198,
-0.117883,0.239492,-0.198214,0.204320,0.212467,0.183347,-0.184998,0.231926,0.085609,0.094247,-0.143539,0.227445,0.000000,0.000000,0.189319,0.207675,0.137221,0.143207,
