time,ax,ay,az,gx,gy,gz,mx,my,mz,
40291.4,-0.03,0.03,0.94,-0.22,0.01,-0.13,13.28,25.50,-30.35,
40291.5,0.03,0.03,0.91,0.03,-0.07,0.07,12.83,26.00,-29.63,
40291.6,-0.05,0.03,0.92,0.03,0.04,-0.15,12.15,25.60,-29.57,
40291.7,-0.04,0.01,0.94,-0.05,0.01,-0.07,12.94,25.50,-30.01,
40291.8,-0.03,0.02,0.93,-0.01,-0.03,0.00,11.68,26.20,-28.61,
40291.9,0.02,0.01,0.96,0.07,0.00,-0.10,12.08,25.67,-28.84,
40292.0,-0.06,0.04,0.92,0.17,-0.11,-0.23,12.25,24.81,-28.67,
40292.1,-0.04,0.03,0.90,-0.01,-0.09,-0.07,9.99,25.58,-29.82,
40292.2,-0.04,0.01,0.91,-0.09,-0.00,-0.05,10.20,25.15,-29.01,
40292.3,-0.04,0.01,0.93,-0.12,0.05,0.00,11.02,25.71,-28.99,
40292.4,0.00,0.03,0.97,-0.07,-0.01,-0.03,10.72,26.69,-28.50,
40292.5,-0.02,0.03,0.91,0.02,0.01,-0.02,10.69,25.96,-28.23,
40292.6,-0.01,0.01,0.92,-0.05,-0.05,0.06,10.31,25.81,-29.19,
40292.7,-0.01,0.02,0.92,-0.01,-0.03,0.03,10.37,24.30,-28.84,
40292.8,-0.00,-0.00,0.95,-0.05,-0.12,0.13,10.12,25.58,-28.25,
40292.9,0.05,-0.01,0.96,0.01,0.03,0.12,9.88,25.35,-29.87,
40293.0,-0.00,-0.02,0.94,-0.00,0.07,0.19,11.57,25.62,-28.63,
40293.1,0.03,-0.02,0.90,-0.21,-0.72,0.53,12.82,25.98,-28.66,
40293.2,0.14,-0.07,0.93,-0.40,0.06,0.69,10.55,24.81,-29.34,
40293.3,0.09,-0.08,1.00,-0.37,0.62,0.61,12.96,27.19,-26.37,
40293.4,0.04,-0.10,1.06,-0.38,-0.17,0.36,15.95,25.58,-26.59,
40293.5,0.02,-0.23,0.97,-0.39,-1.28,0.21,15.85,27.72,-25.82,
40293.6,0.32,-0.21,0.94,-0.42,-0.76,0.10,12.60,29.60,-25.32,
40293.7,0.27,-0.27,0.81,-0.28,0.48,-0.29,13.45,29.77,-21.80,
40293.8,0.13,-0.25,0.87,-0.36,0.02,-0.59,14.82,30.11,-21.47,
40293.9,0.17,-0.21,0.88,0.12,-0.58,-0.84,15.28,31.57,-21.05,
40294.0,0.23,-0.19,0.86,0.52,-0.47,-0.71,13.11,32.17,-20.80,
40294.1,0.21,-0.10,0.83,0.45,0.19,-0.42,9.86,32.34,-24.98,
40294.2,0.22,-0.08,0.83,0.63,-0.11,-0.18,9.66,33.13,-27.10,
40294.3,0.29,0.04,0.74,0.75,-0.27,-0.01,6.95,31.14,-28.84,
40294.4,0.27,0.04,0.73,0.22,0.41,0.10,8.24,29.26,-31.50,
40294.5,0.32,0.02,0.81,0.16,-0.20,0.18,9.01,27.72,-31.52,
40294.6,0.33,0.02,0.82,0.07,-0.21,0.13,7.81,28.58,-32.36,
40294.7,0.33,-0.00,0.81,-0.04,0.08,0.08,7.84,27.51,-32.59,
40294.8,0.38,-0.03,0.87,-0.04,-0.07,-0.00,7.98,27.38,-30.85,
40294.9,0.35,0.01,0.85,0.10,-0.12,-0.04,7.30,25.52,-31.81,
40295.0,0.34,0.04,0.81,0.01,-0.04,0.01,8.17,26.30,-32.44,
40295.1,0.36,0.03,0.83,-0.07,-0.01,0.01,7.32,26.32,-31.53,
40295.2,0.35,0.02,0.84,0.03,-0.11,-0.07,6.32,27.32,-31.80,
40295.3,0.29,-0.04,0.82,0.04,0.20,-0.05,7.47,24.81,-30.01,
40295.4,0.36,0.02,0.82,0.10,0.05,0.02,7.45,26.34,-31.84,
40295.5,0.29,0.05,0.82,0.20,0.29,0.07,8.95,26.97,-32.24,
40295.6,0.27,0.07,0.77,0.31,0.26,0.07,9.65,26.01,-31.78,
40295.7,0.24,0.04,0.84,0.13,0.42,0.09,10.57,25.76,-31.76,
40295.8,0.16,0.03,0.86,0.10,0.44,-0.00,11.91,24.13,-31.35,
40295.9,0.23,0.18,0.76,0.62,-0.54,0.08,12.07,23.82,-31.43,
40296.0,0.30,0.25,0.74,0.52,-0.28,-0.16,11.42,23.25,-31.06,
40296.1,0.30,0.25,0.75,0.32,0.77,-0.42,10.20,22.42,-31.35,
40296.2,0.03,0.21,0.81,0.04,1.58,-0.70,14.29,19.01,-32.34,
40296.3,-0.07,0.28,0.80,-0.03,0.32,-0.67,16.02,20.36,-30.01,
40296.4,-0.12,0.27,0.86,-0.30,0.41,-0.46,14.82,18.48,-30.18,
