time,x,y,z,MF
11:11:24:8,11.26,26.20,-29.29,40.88
11:11:24:8,12.08,26.69,-27.83,40.41
11:11:24:8,11.71,26.79,-28.11,40.55
11:11:24:8,10.72,27.04,-28.84,40.96
11:11:24:8,11.31,26.25,-29.23,40.88
11:11:24:9,11.74,25.67,-29.51,40.84
11:11:24:9,11.45,25.09,-28.94,39.98
11:11:24:9,11.40,24.98,-28.84,39.82
11:11:24:9,11.91,25.84,-29.68,41.11
11:11:24:9,11.83,25.66,-29.51,40.85
11:11:24:9,11.57,25.15,-29.01,40.10
11:11:25:0,11.30,25.24,-29.09,40.14
11:11:25:0,11.06,25.32,-29.17,40.18
11:11:25:0,11.33,25.05,-29.97,40.67
11:11:25:0,11.40,24.98,-30.18,40.80
11:11:25:0,12.26,26.86,-29.01,41.39
11:11:25:0,12.05,26.72,-28.66,41.00
11:11:25:1,11.23,26.18,-27.33,39.48
11:11:25:1,11.72,25.53,-28.13,39.75
11:11:25:1,12.26,24.81,-29.01,40.09
11:11:25:1,12.13,24.68,-27.63,38.99
11:11:25:1,12.08,24.64,-27.16,38.61
11:11:25:1,11.40,24.98,-28.50,39.58
11:11:25:2,11.45,24.82,-28.50,39.50
11:11:25:2,11.74,23.95,-28.50,39.04
11:11:25:2,12.25,24.17,-29.43,40.00
11:11:25:2,12.94,24.47,-30.68,41.32
11:11:25:2,11.75,25.89,-30.22,41.49
11:11:25:2,11.23,26.52,-30.01,41.60
11:11:25:3,10.90,27.51,-30.33,42.38
11:11:25:3,10.78,27.34,-30.21,42.15
11:11:25:3,9.86,25.50,-29.01,39.86
11:11:25:3,10.49,25.37,-29.50,40.30
11:11:25:3,11.57,25.15,-30.35,41.08
11:11:25:3,12.23,25.81,-29.27,40.90
11:11:25:4,12.60,26.18,-28.67,40.82
11:11:25:4,12.44,25.71,-28.21,40.15
11:11:25:4,12.44,25.70,-28.25,40.16
11:11:25:4,12.77,26.35,-29.84,41.81
11:11:25:4,12.17,26.19,-29.36,41.18
11:11:25:5,10.89,25.84,-28.34,39.86
11:11:25:5,11.49,26.44,-29.52,41.26
11:11:25:5,11.91,26.86,-30.35,42.25
11:11:25:5,12.35,25.25,-29.34,40.63
11:11:25:5,12.43,24.98,-29.17,40.37
11:11:25:5,11.06,26.35,-29.17,40.84
11:11:25:5,11.38,26.21,-29.22,40.87
11:11:25:6,12.26,25.84,-29.34,40.97
11:11:25:6,11.98,25.19,-28.53,39.90
11:11:25:6,11.74,24.64,-27.83,38.98
11:11:25:6,12.16,25.05,-28.51,39.86
11:11:25:6,12.26,25.15,-28.67,40.06
11:11:25:6,11.91,25.50,-29.34,40.66
11:11:25:7,11.69,25.42,-29.41,40.60
11:11:25:7,10.89,25.15,-29.68,40.40
11:11:25:7,11.80,25.57,-29.60,40.85
11:11:25:7,12.77,26.01,-29.51,41.36
11:11:25:7,11.73,25.49,-29.26,40.54
11:11:25:7,11.40,25.32,-29.17,40.28
11:11:25:8,10.37,26.35,-30.85,41.88
11:11:25:8,10.51,26.10,-30.49,41.49
11:11:25:8,11.23,24.81,-28.67,39.54
11:11:25:8,11.45,24.88,-28.89,39.81
11:11:25:8,11.74,24.98,-29.17,40.16
11:11:25:8,11.98,25.46,-29.17,40.54
11:11:25:9,12.08,25.67,-29.17,40.69
11:11:25:9,12.42,26.33,-29.50,41.45
11:11:25:9,12.27,26.27,-29.44,41.32
11:11:25:9,11.06,25.67,-28.84,40.16
11:11:25:9,11.12,25.34,-28.90,40.01
11:11:25:9,11.23,24.81,-29.01,39.79
11:11:26:0,12.23,24.70,-29.12,40.09
